Notification_ID,Title,Description,Type,Priority,Date,Time,Status,Related_ID,Created_By
NTF00092,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407128.,Fraud Alert,Medium,2026-06-23,11:30,Unread,P1237,Admin
NTF00093,Low Stock Alert,ORS Sachet stock is running low.,Stock Alert,High,2026-06-12,10:45,Unread,P1276,Admin
NTF00094,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-27,16:45,Unread,P1136,Admin
NTF00095,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407880.,Fraud Alert,Medium,2026-05-14,11:30,Read,P1482,Admin
NTF00096,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407515.,Fraud Alert,Low,2026-06-19,09:30,Read,P1229,Pharmacist
NTF00097,Appointment Reminder,Patient P1404 has an appointment today.,Appointment,Medium,2026-07-28,19:15,Unread,P1200,Admin
NTF00098,Appointment Reminder,Patient P1286 has an appointment today.,Appointment,Medium,2026-06-25,07:30,Read,P1012,Admin
NTF00099,Appointment Reminder,Patient P1240 has an appointment today.,Appointment,Medium,2026-07-21,11:45,Unread,P1103,Admin
NTF00100,Medicine Expiring Soon,Cetirizine 10mg will expire within 12 days.,Expiry Alert,Medium,2026-07-05,17:15,Read,P1319,Pharmacist
NTF00101,Medicine Expiring Soon,Amoxicillin 250mg will expire within 22 days.,Expiry Alert,Low,2026-07-26,16:30,Read,P1408,Admin
NTF00102,New Prescription Added,New prescription added for patient P1204.,Prescription,Medium,2026-05-28,09:15,Unread,P1370,Admin
NTF00103,New Prescription Added,New prescription added for patient P1126.,Prescription,Low,2026-06-19,17:45,Unread,P1126,Admin
NTF00104,Low Stock Alert,Azithromycin 500mg stock is running low.,Stock Alert,Low,2026-07-15,13:45,Read,P1324,Pharmacist
NTF00105,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-27,11:45,Read,P1438,Pharmacist
NTF00106,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-23,07:15,Unread,P1300,Pharmacist
NTF00107,New Prescription Added,New prescription added for patient P1423.,Prescription,Medium,2026-07-22,08:45,Unread,P1042,System
NTF00108,System Update,System maintenance and backup completed successfully.,System,High,2026-05-05,21:30,Read,P1384,Admin
NTF00109,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407952.,Fraud Alert,Medium,2026-06-10,13:00,Unread,P1374,Admin
NTF00110,Appointment Reminder,Patient P1230 has an appointment today.,Appointment,Medium,2026-07-20,15:45,Unread,P1343,System
NTF00111,New Prescription Added,New prescription added for patient P1369.,Prescription,Medium,2026-05-18,13:45,Unread,P1281,System
NTF00112,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-29,18:30,Read,P1189,Admin
NTF00113,New Prescription Added,New prescription added for patient P1308.,Prescription,Low,2026-06-14,07:00,Unread,P1368,System
NTF00114,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-04,10:00,Read,P1295,Pharmacist
NTF00115,Low Stock Alert,Cough Syrup 100ml stock is running low.,Stock Alert,Medium,2026-06-25,20:00,Unread,P1143,Admin
NTF00116,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-13,15:45,Read,P1469,System
NTF00117,Medicine Expiring Soon,Amlodipine 5mg will expire within 3 days.,Expiry Alert,Medium,2026-07-23,10:00,Unread,P1193,System
NTF00118,New Prescription Added,New prescription added for patient P1249.,Prescription,Medium,2026-06-04,20:15,Read,P1283,Pharmacist
NTF00119,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407093.,Fraud Alert,Medium,2026-06-03,18:30,Read,P1134,Admin
NTF00120,New Prescription Added,New prescription added for patient P1443.,Prescription,Medium,2026-07-15,07:15,Unread,P1311,Admin
NTF00121,New Prescription Added,New prescription added for patient P1053.,Prescription,High,2026-05-06,09:15,Unread,P1331,System
NTF00122,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407366.,Fraud Alert,High,2026-05-24,21:45,Unread,P1159,Admin
NTF00123,Appointment Reminder,Patient P1155 has an appointment today.,Appointment,High,2026-07-05,08:15,Unread,P1040,Pharmacist
NTF00124,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-30,09:30,Unread,P1101,Admin
NTF00125,Appointment Reminder,Patient P1396 has an appointment today.,Appointment,Medium,2026-05-24,20:00,Unread,P1108,Pharmacist
NTF00126,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-15,17:15,Read,P1251,Pharmacist
NTF00127,System Update,System maintenance and backup completed successfully.,System,Medium,2026-06-18,21:00,Unread,P1362,Pharmacist
NTF00128,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407997.,Fraud Alert,High,2026-07-10,15:45,Unread,P1185,Pharmacist
NTF00129,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407909.,Fraud Alert,High,2026-06-13,14:30,Read,P1111,Pharmacist
NTF00130,Low Stock Alert,Ibuprofen 400mg stock is running low.,Stock Alert,Low,2026-07-03,11:00,Read,P1375,System
NTF00131,Low Stock Alert,Losartan 50mg stock is running low.,Stock Alert,High,2026-06-28,20:45,Read,P1133,System
NTF00132,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-09,11:15,Read,P1353,Pharmacist
NTF00133,New Prescription Added,New prescription added for patient P1295.,Prescription,Medium,2026-07-01,19:00,Read,P1089,System
NTF00134,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-12,14:15,Unread,P1047,System
NTF00135,New Prescription Added,New prescription added for patient P1371.,Prescription,Medium,2026-07-20,10:15,Read,P1171,Pharmacist
NTF00136,New Prescription Added,New prescription added for patient P1186.,Prescription,High,2026-07-25,08:30,Read,P1020,System
NTF00137,Medicine Expiring Soon,Atorvastatin 10mg will expire within 11 days.,Expiry Alert,High,2026-06-04,14:00,Read,P1458,System
NTF00138,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-09,12:30,Unread,P1164,Admin
NTF00139,Appointment Reminder,Patient P1380 has an appointment today.,Appointment,Low,2026-06-06,10:30,Unread,P1454,Admin
NTF00140,Medicine Expiring Soon,Losartan 50mg will expire within 25 days.,Expiry Alert,High,2026-05-16,16:00,Read,P1209,Pharmacist
NTF00141,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407927.,Fraud Alert,Low,2026-06-27,12:15,Read,P1214,Admin
NTF00142,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-13,21:00,Read,P1215,System
NTF00143,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-06-13,17:45,Read,P1009,System
NTF00144,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407910.,Fraud Alert,Low,2026-05-25,17:15,Read,P1341,Admin
NTF00145,Low Stock Alert,Ibuprofen 400mg stock is running low.,Stock Alert,Medium,2026-05-24,09:45,Read,P1078,Pharmacist
NTF00146,Medicine Expiring Soon,Cough Syrup 100ml will expire within 13 days.,Expiry Alert,Low,2026-06-10,09:45,Unread,P1489,System
NTF00147,Medicine Expiring Soon,Calcium 500mg will expire within 8 days.,Expiry Alert,Low,2026-06-27,14:00,Read,P1006,Admin
NTF00148,System Update,System maintenance and backup completed successfully.,System,High,2026-07-14,17:30,Unread,P1067,System
NTF00149,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-03,07:15,Read,P1075,System
NTF00150,Medicine Expiring Soon,Dolo 650mg will expire within 29 days.,Expiry Alert,Medium,2026-05-21,12:45,Read,P1131,System
NTF00151,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-16,09:30,Read,P1152,Admin
NTF00152,Low Stock Alert,Amoxicillin 250mg stock is running low.,Stock Alert,Medium,2026-05-06,15:00,Read,P1468,Pharmacist
NTF00153,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-29,19:45,Read,P1148,Pharmacist
NTF00154,Medicine Expiring Soon,Metformin 500mg will expire within 27 days.,Expiry Alert,High,2026-06-28,07:45,Unread,P1434,Admin
NTF00155,Appointment Reminder,Patient P1135 has an appointment today.,Appointment,Medium,2026-06-10,18:30,Read,P1368,Pharmacist
NTF00156,Medicine Expiring Soon,Amlodipine 5mg will expire within 29 days.,Expiry Alert,High,2026-05-11,15:30,Unread,P1201,Pharmacist
NTF00157,New Prescription Added,New prescription added for patient P1105.,Prescription,High,2026-07-19,21:45,Unread,P1322,Admin
NTF00158,Appointment Reminder,Patient P1413 has an appointment today.,Appointment,High,2026-07-03,15:45,Unread,P1373,Admin
NTF00159,New Prescription Added,New prescription added for patient P1218.,Prescription,Low,2026-05-14,16:15,Read,P1106,Admin
NTF00160,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-06-08,17:15,Read,P1432,Pharmacist
NTF00161,Medicine Expiring Soon,Cetirizine 10mg will expire within 5 days.,Expiry Alert,Low,2026-07-07,15:45,Read,P1473,Admin
NTF00162,Appointment Reminder,Patient P1426 has an appointment today.,Appointment,Low,2026-06-26,17:45,Read,P1386,Pharmacist
NTF00163,System Update,System maintenance and backup completed successfully.,System,High,2026-07-04,15:00,Read,P1169,System
NTF00164,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407739.,Fraud Alert,Low,2026-06-29,20:30,Read,P1287,System
NTF00165,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-06-24,11:00,Read,P1133,Admin
NTF00166,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407577.,Fraud Alert,Low,2026-07-25,12:15,Unread,P1226,System
NTF00167,System Update,System maintenance and backup completed successfully.,System,High,2026-05-17,12:00,Unread,P1243,System
NTF00168,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-20,12:15,Read,P1337,Pharmacist
NTF00169,Appointment Reminder,Patient P1253 has an appointment today.,Appointment,High,2026-05-21,11:45,Unread,P1428,Admin
NTF00170,Appointment Reminder,Patient P1353 has an appointment today.,Appointment,Low,2026-07-12,16:15,Unread,P1397,Pharmacist
NTF00171,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-08,09:15,Read,P1368,Pharmacist
NTF00172,Medicine Expiring Soon,Ibuprofen 400mg will expire within 18 days.,Expiry Alert,High,2026-07-12,10:30,Read,P1022,Admin
NTF00173,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-18,13:30,Unread,P1249,Admin
NTF00174,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-05-28,07:45,Unread,P1166,Pharmacist
NTF00175,Low Stock Alert,Cough Syrup 100ml stock is running low.,Stock Alert,Medium,2026-06-26,16:30,Unread,P1172,System
NTF00176,Medicine Expiring Soon,Pantoprazole 40mg will expire within 13 days.,Expiry Alert,Low,2026-07-06,08:45,Unread,P1460,Admin
NTF00177,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-06-19,16:15,Unread,P1141,Pharmacist
NTF00178,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-06-26,08:00,Unread,P1498,Pharmacist
NTF00179,Appointment Reminder,Patient P1351 has an appointment today.,Appointment,High,2026-06-07,14:30,Read,P1430,Pharmacist
NTF00180,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-14,16:45,Unread,P1132,Admin
NTF00181,Low Stock Alert,Amlodipine 5mg stock is running low.,Stock Alert,Low,2026-06-09,12:30,Read,P1393,Admin
NTF00182,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407657.,Fraud Alert,Medium,2026-06-22,21:00,Unread,P1226,Pharmacist
NTF00183,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-01,21:00,Read,P1290,System
NTF00184,New Prescription Added,New prescription added for patient P1378.,Prescription,Low,2026-07-08,07:00,Unread,P1402,System
NTF00185,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407039.,Fraud Alert,High,2026-06-20,16:45,Read,P1089,Admin
NTF00186,Low Stock Alert,Omeprazole 20mg stock is running low.,Stock Alert,Low,2026-06-26,19:15,Unread,P1396,Pharmacist
NTF00187,System Update,System maintenance and backup completed successfully.,System,High,2026-05-31,13:45,Read,P1291,Pharmacist
NTF00188,System Update,System maintenance and backup completed successfully.,System,Medium,2026-06-06,17:00,Read,P1412,Pharmacist
NTF00189,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407519.,Fraud Alert,High,2026-06-26,07:15,Read,P1466,Admin
NTF00190,System Update,System maintenance and backup completed successfully.,System,High,2026-07-22,20:30,Read,P1225,Pharmacist
NTF00191,Low Stock Alert,Levocetirizine 5mg stock is running low.,Stock Alert,Low,2026-06-10,13:45,Read,P1476,Admin
NTF00192,New Prescription Added,New prescription added for patient P1134.,Prescription,Medium,2026-06-08,21:00,Unread,P1126,Pharmacist
NTF00193,Low Stock Alert,Vitamin D3 60000IU stock is running low.,Stock Alert,High,2026-05-14,21:45,Unread,P1439,Admin
NTF00194,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-05-11,18:15,Unread,P1070,System
NTF00195,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-07-05,13:30,Read,P1055,Pharmacist
NTF00196,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-02,15:30,Unread,P1228,Pharmacist
NTF00197,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-12,19:30,Read,P1088,System
NTF00198,New Prescription Added,New prescription added for patient P1497.,Prescription,Medium,2026-05-09,20:15,Read,P1441,System
NTF00199,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-06-03,12:30,Read,P1046,System
NTF00200,Appointment Reminder,Patient P1094 has an appointment today.,Appointment,Medium,2026-06-28,10:30,Unread,P1245,Pharmacist
NTF00201,System Update,System maintenance and backup completed successfully.,System,Medium,2026-06-25,18:45,Read,P1229,Pharmacist
NTF00202,System Update,System maintenance and backup completed successfully.,System,High,2026-05-31,20:30,Read,P1342,Pharmacist
NTF00203,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-19,16:00,Unread,P1248,Admin
NTF00204,New Prescription Added,New prescription added for patient P1036.,Prescription,High,2026-05-19,17:30,Unread,P1050,Admin
NTF00205,System Update,System maintenance and backup completed successfully.,System,High,2026-06-18,10:00,Unread,P1470,Admin
NTF00206,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-09,15:15,Unread,P1340,Pharmacist
NTF00207,Appointment Reminder,Patient P1140 has an appointment today.,Appointment,Medium,2026-06-05,13:30,Unread,P1400,Admin
NTF00208,System Update,System maintenance and backup completed successfully.,System,High,2026-05-31,07:30,Unread,P1156,Pharmacist
NTF00209,System Update,System maintenance and backup completed successfully.,System,Medium,2026-05-09,19:15,Unread,P1114,Admin
NTF00210,System Update,System maintenance and backup completed successfully.,System,Medium,2026-05-08,14:00,Unread,P1441,Admin
NTF00211,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407578.,Fraud Alert,High,2026-07-13,18:00,Unread,P1394,Pharmacist
NTF00212,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407920.,Fraud Alert,High,2026-05-30,13:15,Unread,P1443,System
NTF00213,New Prescription Added,New prescription added for patient P1108.,Prescription,Medium,2026-05-17,14:45,Read,P1027,Pharmacist
NTF00214,Medicine Expiring Soon,Ibuprofen 400mg will expire within 5 days.,Expiry Alert,Medium,2026-05-10,11:45,Unread,P1440,System
NTF00215,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407295.,Fraud Alert,Low,2026-06-28,10:00,Unread,P1356,Pharmacist
NTF00216,Appointment Reminder,Patient P1069 has an appointment today.,Appointment,High,2026-06-16,12:45,Unread,P1206,Admin
NTF00217,Medicine Expiring Soon,Pantoprazole 40mg will expire within 12 days.,Expiry Alert,Medium,2026-05-10,18:45,Unread,P1049,Admin
NTF00218,System Update,System maintenance and backup completed successfully.,System,Medium,2026-05-09,12:45,Read,P1318,Pharmacist
NTF00219,New Prescription Added,New prescription added for patient P1078.,Prescription,High,2026-07-13,15:30,Unread,P1179,Pharmacist
NTF00220,Medicine Expiring Soon,Rabeprazole 20mg will expire within 27 days.,Expiry Alert,Medium,2026-05-30,18:30,Unread,P1186,Pharmacist
NTF00221,Medicine Expiring Soon,ORS Sachet will expire within 14 days.,Expiry Alert,High,2026-07-12,19:30,Read,P1398,System
NTF00222,Appointment Reminder,Patient P1086 has an appointment today.,Appointment,High,2026-07-04,18:30,Unread,P1001,Admin
NTF00223,Medicine Expiring Soon,Dolo 650mg will expire within 5 days.,Expiry Alert,Medium,2026-06-10,19:45,Read,P1131,Pharmacist
NTF00224,Appointment Reminder,Patient P1343 has an appointment today.,Appointment,Low,2026-05-30,18:15,Unread,P1064,Pharmacist
