Stock_ID,Medicine_ID,Medicine_Name,Batch_Number,Quantity,Reorder_Level,Stock_Status,Expiry_Date,Supplier,Purchase_Price_INR,Storage_Location,Last_Updated
STK00035,MED00035,Dolo 650mg,BAT255476,170,28,In Stock,2027-03-18,MedPlus Wholesale,641.96,Rack-1 / Shelf-1,2025-05-16
STK00036,MED00036,Cough Syrup 100ml,BAT252363,256,66,In Stock,2028-01-15,Wellness Distributors,648.58,Rack-13 / Shelf-6,2026-01-16
STK00037,MED00037,Calcium 500mg,BAT259377,250,39,In Stock,2026-11-10,Wellness Distributors,620.42,Rack-4 / Shelf-7,2025-04-10
STK00038,MED00038,Losartan 50mg,BAT246464,289,30,In Stock,2028-10-19,Wellness Distributors,670.31,Rack-12 / Shelf-8,2025-09-09
STK00039,MED00039,Rabeprazole 20mg,BAT241990,352,43,In Stock,2028-06-26,Wellness Distributors,649.15,Rack-8 / Shelf-4,2025-11-29
STK00040,MED00040,Salbutamol 4mg,BAT251942,17,78,Low Stock,2028-06-06,Apollo Distributors,490.65,Rack-5 / Shelf-5,2025-09-25
STK00041,MED00041,Paracetamol 500mg,BAT244928,233,80,In Stock,2027-05-17,MedPlus Wholesale,424.69,Rack-6 / Shelf-1,2026-06-02
STK00042,MED00042,Amoxicillin 250mg,BAT252694,394,25,In Stock,2027-10-11,City Medical Supply,682.11,Rack-3 / Shelf-4,2025-05-09
STK00043,MED00043,Cetirizine 10mg,BAT254087,216,30,In Stock,2027-05-15,HealthKart Pharma,354.45,Rack-18 / Shelf-7,2025-10-04
STK00044,MED00044,Ibuprofen 400mg,BAT253587,157,66,In Stock,2028-10-08,Apollo Distributors,83.62,Rack-19 / Shelf-6,2025-06-10
STK00045,MED00045,Omeprazole 20mg,BAT246965,73,37,In Stock,2028-10-04,Wellness Distributors,491.71,Rack-1 / Shelf-3,2025-06-09
STK00046,MED00046,Metformin 500mg,BAT243274,251,20,In Stock,2026-11-09,Wellness Distributors,371.27,Rack-10 / Shelf-7,2026-05-05
STK00047,MED00047,Azithromycin 500mg,BAT246207,90,43,In Stock,2028-08-19,MedPlus Wholesale,145.03,Rack-6 / Shelf-2,2025-12-13
STK00048,MED00048,Pantoprazole 40mg,BAT247065,290,72,In Stock,2027-03-08,MedPlus Wholesale,48.82,Rack-6 / Shelf-4,2026-03-21
STK00049,MED00049,Amlodipine 5mg,BAT253495,461,75,In Stock,2027-11-24,City Medical Supply,83.56,Rack-6 / Shelf-2,2026-03-03
STK00050,MED00050,Atorvastatin 10mg,BAT244185,43,44,Low Stock,2027-06-09,Apollo Distributors,244.77,Rack-19 / Shelf-4,2025-11-29
STK00051,MED00051,Montelukast 10mg,BAT243403,248,63,In Stock,2026-09-08,Apollo Distributors,192.13,Rack-1 / Shelf-1,2026-06-12
STK00052,MED00052,Levocetirizine 5mg,BAT240337,108,53,In Stock,2027-09-18,City Medical Supply,367.89,Rack-9 / Shelf-8,2025-12-01
STK00053,MED00053,Vitamin D3 60000IU,BAT259904,387,41,In Stock,2027-11-12,HealthKart Pharma,264.58,Rack-11 / Shelf-6,2025-06-08
STK00054,MED00054,ORS Sachet,BAT251936,122,80,In Stock,2028-07-11,Wellness Distributors,269.88,Rack-2 / Shelf-6,2025-05-10
STK00055,MED00055,Dolo 650mg,BAT243382,169,71,In Stock,2026-09-02,Wellness Distributors,610.41,Rack-13 / Shelf-3,2026-07-18
STK00056,MED00056,Cough Syrup 100ml,BAT257487,308,27,In Stock,2027-06-12,MedPlus Wholesale,262.95,Rack-20 / Shelf-8,2025-11-10
STK00057,MED00057,Calcium 500mg,BAT246258,211,62,In Stock,2026-09-02,HealthKart Pharma,19.51,Rack-12 / Shelf-1,2025-03-22
STK00058,MED00058,Losartan 50mg,BAT250766,413,67,In Stock,2028-07-24,Wellness Distributors,169.62,Rack-16 / Shelf-7,2025-07-18
STK00059,MED00059,Rabeprazole 20mg,BAT242766,313,70,In Stock,2027-08-21,Wellness Distributors,657.85,Rack-16 / Shelf-2,2025-07-21
STK00060,MED00060,Salbutamol 4mg,BAT259995,197,38,In Stock,2027-03-17,MedPlus Wholesale,609.94,Rack-19 / Shelf-1,2026-05-27
STK00061,MED00061,Paracetamol 500mg,BAT242953,254,70,In Stock,2027-07-04,City Medical Supply,691.16,Rack-15 / Shelf-3,2025-04-29
STK00062,MED00062,Amoxicillin 250mg,BAT255899,228,27,In Stock,2028-07-08,City Medical Supply,174.7,Rack-7 / Shelf-3,2025-07-11
STK00063,MED00063,Cetirizine 10mg,BAT243030,483,62,In Stock,2026-12-16,Wellness Distributors,695.41,Rack-1 / Shelf-3,2025-04-12
STK00064,MED00064,Ibuprofen 400mg,BAT252666,475,40,In Stock,2028-10-22,HealthKart Pharma,160.5,Rack-9 / Shelf-8,2025-03-31
STK00065,MED00065,Omeprazole 20mg,BAT244133,459,62,In Stock,2028-07-11,MedPlus Wholesale,646.53,Rack-16 / Shelf-2,2025-06-19
STK00066,MED00066,Metformin 500mg,BAT247433,354,41,In Stock,2028-04-10,City Medical Supply,52.75,Rack-11 / Shelf-7,2025-04-21
STK00067,MED00067,Azithromycin 500mg,BAT252605,367,67,In Stock,2028-06-29,City Medical Supply,676.64,Rack-14 / Shelf-4,2026-04-08
STK00068,MED00068,Pantoprazole 40mg,BAT249634,132,27,In Stock,2026-11-27,Apollo Distributors,69.68,Rack-19 / Shelf-4,2025-07-15
STK00069,MED00069,Amlodipine 5mg,BAT258870,482,27,In Stock,2027-09-10,MedPlus Wholesale,598.5,Rack-13 / Shelf-1,2026-02-22
STK00070,MED00070,Atorvastatin 10mg,BAT257650,31,57,Low Stock,2027-03-12,Wellness Distributors,686.06,Rack-11 / Shelf-6,2025-06-18
STK00071,MED00071,Montelukast 10mg,BAT244238,347,79,In Stock,2028-02-13,City Medical Supply,416.82,Rack-4 / Shelf-7,2026-07-27
STK00072,MED00072,Levocetirizine 5mg,BAT255193,275,74,In Stock,2027-07-19,MedPlus Wholesale,572.77,Rack-10 / Shelf-4,2025-11-18
STK00073,MED00073,Vitamin D3 60000IU,BAT244930,348,49,In Stock,2028-05-06,HealthKart Pharma,108.94,Rack-2 / Shelf-6,2026-02-23
STK00074,MED00074,ORS Sachet,BAT244145,257,64,In Stock,2027-06-06,City Medical Supply,338.97,Rack-7 / Shelf-8,2026-03-04
STK00075,MED00075,Dolo 650mg,BAT242027,360,44,In Stock,2028-12-06,HealthKart Pharma,113.67,Rack-7 / Shelf-4,2025-08-07
STK00076,MED00076,Cough Syrup 100ml,BAT245966,376,23,In Stock,2028-01-11,Wellness Distributors,214.98,Rack-6 / Shelf-1,2025-10-24
STK00077,MED00077,Calcium 500mg,BAT253942,200,41,In Stock,2028-07-24,Wellness Distributors,693.3,Rack-13 / Shelf-7,2026-06-25
STK00078,MED00078,Losartan 50mg,BAT249374,270,66,In Stock,2027-06-15,MedPlus Wholesale,493.17,Rack-18 / Shelf-7,2026-06-12
STK00079,MED00079,Rabeprazole 20mg,BAT259118,67,40,In Stock,2028-12-01,Apollo Distributors,596.07,Rack-10 / Shelf-8,2025-08-30
STK00080,MED00080,Salbutamol 4mg,BAT244607,83,56,In Stock,2027-11-25,Wellness Distributors,209.43,Rack-5 / Shelf-4,2026-04-11
STK00081,MED00081,Paracetamol 500mg,BAT246511,411,67,In Stock,2028-09-20,Apollo Distributors,258.66,Rack-19 / Shelf-2,2025-08-18
STK00082,MED00082,Amoxicillin 250mg,BAT244936,402,74,In Stock,2027-09-19,Wellness Distributors,478.18,Rack-6 / Shelf-1,2026-06-12
STK00083,MED00083,Cetirizine 10mg,BAT245986,182,50,In Stock,2026-10-22,Apollo Distributors,686.35,Rack-11 / Shelf-7,2025-03-22
STK00084,MED00084,Ibuprofen 400mg,BAT253338,76,60,In Stock,2027-05-07,Apollo Distributors,90.21,Rack-13 / Shelf-8,2026-02-27
STK00085,MED00085,Omeprazole 20mg,BAT245752,352,58,In Stock,2028-06-28,Wellness Distributors,544.89,Rack-3 / Shelf-8,2025-05-15
STK00086,MED00086,Metformin 500mg,BAT252620,418,61,In Stock,2027-06-07,Wellness Distributors,262.19,Rack-4 / Shelf-2,2026-06-19
STK00087,MED00087,Azithromycin 500mg,BAT256803,62,51,In Stock,2027-04-17,Apollo Distributors,414.1,Rack-19 / Shelf-8,2026-03-13
STK00088,MED00088,Pantoprazole 40mg,BAT243198,355,67,In Stock,2028-11-20,City Medical Supply,133.32,Rack-16 / Shelf-7,2026-03-01
STK00089,MED00089,Amlodipine 5mg,BAT243358,292,28,In Stock,2027-07-29,Apollo Distributors,501.93,Rack-18 / Shelf-3,2026-01-05
STK00090,MED00090,Atorvastatin 10mg,BAT240747,416,64,In Stock,2027-10-07,City Medical Supply,573.68,Rack-17 / Shelf-8,2026-06-29
STK00091,MED00091,Montelukast 10mg,BAT259260,265,73,In Stock,2028-03-03,Apollo Distributors,529.43,Rack-7 / Shelf-2,2026-04-30
STK00092,MED00092,Levocetirizine 5mg,BAT245996,441,58,In Stock,2026-09-04,City Medical Supply,317.49,Rack-11 / Shelf-2,2026-07-11
STK00093,MED00093,Vitamin D3 60000IU,BAT246857,65,56,In Stock,2028-06-28,MedPlus Wholesale,68.77,Rack-9 / Shelf-1,2026-06-18
STK00094,MED00094,ORS Sachet,BAT249883,63,52,In Stock,2027-09-06,City Medical Supply,126.75,Rack-1 / Shelf-4,2026-02-28
STK00095,MED00095,Dolo 650mg,BAT257121,23,80,Low Stock,2028-11-08,HealthKart Pharma,464.14,Rack-15 / Shelf-3,2025-10-09
STK00096,MED00096,Cough Syrup 100ml,BAT250354,251,64,In Stock,2028-02-16,HealthKart Pharma,427.47,Rack-17 / Shelf-4,2025-08-13
STK00097,MED00097,Calcium 500mg,BAT241565,50,62,Low Stock,2027-04-29,Apollo Distributors,138.15,Rack-10 / Shelf-4,2025-03-28
STK00098,MED00098,Losartan 50mg,BAT258190,68,58,In Stock,2027-04-08,City Medical Supply,256.47,Rack-5 / Shelf-7,2026-06-23
STK00099,MED00099,Rabeprazole 20mg,BAT248641,281,36,In Stock,2027-09-24,MedPlus Wholesale,284.84,Rack-3 / Shelf-5,2025-08-19
STK00100,MED00100,Salbutamol 4mg,BAT244793,217,80,In Stock,2028-02-29,MedPlus Wholesale,56.83,Rack-9 / Shelf-4,2025-07-31
STK00101,MED00101,Paracetamol 500mg,BAT256858,190,56,In Stock,2028-05-10,MedPlus Wholesale,298.42,Rack-5 / Shelf-6,2025-06-23
STK00102,MED00102,Amoxicillin 250mg,BAT240949,222,44,In Stock,2028-05-09,MedPlus Wholesale,61.65,Rack-4 / Shelf-2,2025-08-15
STK00103,MED00103,Cetirizine 10mg,BAT242261,280,46,In Stock,2027-08-02,Apollo Distributors,259.07,Rack-11 / Shelf-5,2026-05-18
STK00104,MED00104,Ibuprofen 400mg,BAT247497,444,71,In Stock,2027-06-06,Apollo Distributors,75.78,Rack-8 / Shelf-7,2025-03-31
STK00105,MED00105,Omeprazole 20mg,BAT244146,53,70,Low Stock,2027-02-25,City Medical Supply,512.0,Rack-10 / Shelf-8,2026-06-13
STK00106,MED00106,Metformin 500mg,BAT258848,270,42,In Stock,2027-06-14,City Medical Supply,195.57,Rack-4 / Shelf-1,2026-05-05
STK00107,MED00107,Azithromycin 500mg,BAT252865,162,80,In Stock,2027-03-03,HealthKart Pharma,565.81,Rack-18 / Shelf-7,2025-11-29
STK00108,MED00108,Pantoprazole 40mg,BAT248588,303,28,In Stock,2026-09-08,City Medical Supply,501.55,Rack-5 / Shelf-3,2026-01-19
STK00109,MED00109,Amlodipine 5mg,BAT248861,290,67,In Stock,2026-10-23,HealthKart Pharma,497.59,Rack-8 / Shelf-7,2025-08-04
STK00110,MED00110,Atorvastatin 10mg,BAT254483,234,31,In Stock,2027-08-27,Wellness Distributors,355.54,Rack-9 / Shelf-7,2025-11-07
STK00111,MED00111,Montelukast 10mg,BAT247596,482,65,In Stock,2027-07-08,Apollo Distributors,663.64,Rack-14 / Shelf-6,2025-05-25
STK00112,MED00112,Levocetirizine 5mg,BAT242704,46,60,Low Stock,2026-11-16,MedPlus Wholesale,661.85,Rack-6 / Shelf-1,2026-06-18
STK00113,MED00113,Vitamin D3 60000IU,BAT258258,380,38,In Stock,2028-01-16,Apollo Distributors,673.82,Rack-14 / Shelf-3,2025-11-28
STK00114,MED00114,ORS Sachet,BAT257545,254,52,In Stock,2028-08-13,Apollo Distributors,288.59,Rack-20 / Shelf-4,2025-04-21
STK00115,MED00115,Dolo 650mg,BAT240338,425,67,In Stock,2028-08-30,Wellness Distributors,494.19,Rack-12 / Shelf-4,2025-07-18
STK00116,MED00116,Cough Syrup 100ml,BAT257405,338,80,In Stock,2028-07-30,City Medical Supply,37.31,Rack-15 / Shelf-3,2025-08-20
STK00117,MED00117,Calcium 500mg,BAT257254,476,76,In Stock,2027-04-17,MedPlus Wholesale,59.98,Rack-5 / Shelf-6,2025-03-31
STK00118,MED00118,Losartan 50mg,BAT256336,26,47,Low Stock,2027-09-22,MedPlus Wholesale,266.31,Rack-4 / Shelf-6,2025-04-20
STK00119,MED00119,Rabeprazole 20mg,BAT257765,347,35,In Stock,2028-10-22,Apollo Distributors,208.72,Rack-16 / Shelf-5,2026-03-18
STK00120,MED00120,Salbutamol 4mg,BAT260782,109,20,In Stock,2028-04-03,Wellness Distributors,158.48,Rack-10 / Shelf-1,2025-04-09
STK00121,MED00121,Paracetamol 500mg,BAT260342,237,77,In Stock,2029-01-14,Wellness Distributors,47.79,Rack-1 / Shelf-8,2026-02-13
STK00122,MED00122,Amoxicillin 250mg,BAT243611,152,42,In Stock,2026-09-04,HealthKart Pharma,624.02,Rack-6 / Shelf-7,2026-01-31
STK00123,MED00123,Cetirizine 10mg,BAT254216,4,26,Low Stock,2028-01-15,MedPlus Wholesale,66.64,Rack-17 / Shelf-3,2026-01-02
STK00124,MED00124,Ibuprofen 400mg,BAT256071,63,78,Low Stock,2026-09-06,MedPlus Wholesale,540.46,Rack-9 / Shelf-4,2025-12-03
STK00125,MED00125,Omeprazole 20mg,BAT249906,202,43,In Stock,2027-09-07,Wellness Distributors,625.4,Rack-18 / Shelf-5,2026-06-06
STK00126,MED00126,Metformin 500mg,BAT254496,224,62,In Stock,2027-02-11,MedPlus Wholesale,252.79,Rack-14 / Shelf-1,2026-01-29
STK00127,MED00127,Azithromycin 500mg,BAT246603,452,75,In Stock,2026-12-21,MedPlus Wholesale,205.15,Rack-5 / Shelf-7,2025-12-28
STK00128,MED00128,Pantoprazole 40mg,BAT241135,380,41,In Stock,2027-02-10,MedPlus Wholesale,664.28,Rack-9 / Shelf-2,2025-12-28
STK00129,MED00129,Amlodipine 5mg,BAT256338,250,55,In Stock,2028-11-26,MedPlus Wholesale,232.82,Rack-13 / Shelf-7,2026-05-25
STK00130,MED00130,Atorvastatin 10mg,BAT240793,56,26,In Stock,2027-01-06,MedPlus Wholesale,246.13,Rack-1 / Shelf-4,2026-07-05
STK00131,MED00131,Montelukast 10mg,BAT251311,347,73,In Stock,2027-11-12,City Medical Supply,518.3,Rack-14 / Shelf-8,2026-03-05
STK00132,MED00132,Levocetirizine 5mg,BAT242807,144,51,In Stock,2028-10-17,Wellness Distributors,179.44,Rack-5 / Shelf-3,2026-03-26
STK00133,MED00133,Vitamin D3 60000IU,BAT243868,143,69,In Stock,2027-05-26,MedPlus Wholesale,469.1,Rack-14 / Shelf-4,2025-12-01
STK00134,MED00134,ORS Sachet,BAT243477,361,70,In Stock,2028-08-16,City Medical Supply,430.88,Rack-7 / Shelf-3,2026-04-05
STK00135,MED00135,Dolo 650mg,BAT253249,61,28,In Stock,2026-10-08,HealthKart Pharma,693.36,Rack-5 / Shelf-7,2026-07-22
STK00136,MED00136,Cough Syrup 100ml,BAT243079,315,32,In Stock,2026-10-21,Wellness Distributors,289.85,Rack-10 / Shelf-4,2026-04-09
STK00137,MED00137,Calcium 500mg,BAT255802,172,47,In Stock,2026-10-31,City Medical Supply,303.53,Rack-2 / Shelf-5,2026-06-05
STK00138,MED00138,Losartan 50mg,BAT249293,137,43,In Stock,2027-08-24,Wellness Distributors,178.9,Rack-2 / Shelf-3,2026-07-11
STK00139,MED00139,Rabeprazole 20mg,BAT250639,0,23,Out of Stock,2027-04-04,HealthKart Pharma,334.66,Rack-20 / Shelf-2,2025-12-23
STK00140,MED00140,Salbutamol 4mg,BAT256198,94,36,In Stock,2027-09-06,HealthKart Pharma,218.61,Rack-4 / Shelf-1,2025-08-16
STK00141,MED00141,Paracetamol 500mg,BAT244369,282,69,In Stock,2027-08-04,HealthKart Pharma,520.97,Rack-12 / Shelf-6,2026-04-01
STK00142,MED00142,Amoxicillin 250mg,BAT246982,332,37,In Stock,2028-04-19,Wellness Distributors,68.36,Rack-4 / Shelf-3,2025-09-12
STK00143,MED00143,Cetirizine 10mg,BAT244043,380,58,In Stock,2026-10-11,City Medical Supply,678.08,Rack-7 / Shelf-4,2025-08-05
STK00144,MED00144,Ibuprofen 400mg,BAT243332,228,79,In Stock,2026-11-14,City Medical Supply,436.36,Rack-10 / Shelf-8,2025-07-07
STK00145,MED00145,Omeprazole 20mg,BAT245135,103,54,In Stock,2026-10-13,MedPlus Wholesale,140.66,Rack-18 / Shelf-5,2025-05-01
STK00146,MED00146,Metformin 500mg,BAT258461,449,68,In Stock,2027-08-20,HealthKart Pharma,318.35,Rack-4 / Shelf-7,2026-06-27
STK00147,MED00147,Azithromycin 500mg,BAT257262,247,46,In Stock,2028-01-27,Apollo Distributors,123.52,Rack-9 / Shelf-3,2026-03-05
STK00148,MED00148,Pantoprazole 40mg,BAT242092,23,56,Low Stock,2028-11-20,MedPlus Wholesale,520.57,Rack-13 / Shelf-8,2025-08-15
STK00149,MED00149,Amlodipine 5mg,BAT256925,272,75,In Stock,2026-11-14,MedPlus Wholesale,310.92,Rack-17 / Shelf-7,2025-10-17
STK00150,MED00150,Atorvastatin 10mg,BAT253235,399,44,In Stock,2028-05-12,HealthKart Pharma,151.19,Rack-1 / Shelf-3,2025-10-12
STK00151,MED00151,Montelukast 10mg,BAT240390,111,57,In Stock,2028-11-16,City Medical Supply,323.17,Rack-17 / Shelf-5,2026-02-26
STK00152,MED00152,Levocetirizine 5mg,BAT249811,436,34,In Stock,2028-08-24,HealthKart Pharma,390.09,Rack-6 / Shelf-4,2026-07-08
STK00153,MED00153,Vitamin D3 60000IU,BAT249663,273,35,In Stock,2026-10-09,MedPlus Wholesale,659.9,Rack-9 / Shelf-3,2026-03-15
STK00154,MED00154,ORS Sachet,BAT241788,447,70,In Stock,2028-06-17,MedPlus Wholesale,692.76,Rack-7 / Shelf-2,2026-07-31
STK00155,MED00155,Dolo 650mg,BAT260831,332,42,In Stock,2028-05-10,HealthKart Pharma,232.6,Rack-18 / Shelf-5,2025-07-27
STK00156,MED00156,Cough Syrup 100ml,BAT260137,68,46,In Stock,2027-06-27,HealthKart Pharma,689.8,Rack-1 / Shelf-6,2026-04-10
STK00157,MED00157,Calcium 500mg,BAT245891,374,37,In Stock,2027-05-19,Apollo Distributors,379.87,Rack-19 / Shelf-2,2025-07-27
STK00158,MED00158,Losartan 50mg,BAT252616,381,64,In Stock,2028-06-29,HealthKart Pharma,610.06,Rack-20 / Shelf-4,2025-06-08
STK00159,MED00159,Rabeprazole 20mg,BAT250725,226,34,In Stock,2027-06-01,MedPlus Wholesale,410.51,Rack-13 / Shelf-3,2025-12-15
STK00160,MED00160,Salbutamol 4mg,BAT254318,118,66,In Stock,2027-09-11,MedPlus Wholesale,632.3,Rack-3 / Shelf-8,2026-04-30
STK00161,MED00161,Paracetamol 500mg,BAT245870,235,31,In Stock,2027-03-11,City Medical Supply,347.44,Rack-6 / Shelf-5,2026-07-21
STK00162,MED00162,Amoxicillin 250mg,BAT245923,158,30,In Stock,2028-12-14,Wellness Distributors,483.66,Rack-7 / Shelf-2,2026-05-19
STK00163,MED00163,Cetirizine 10mg,BAT248136,36,47,Low Stock,2027-12-08,Wellness Distributors,77.36,Rack-17 / Shelf-3,2025-07-24
STK00164,MED00164,Ibuprofen 400mg,BAT240486,384,71,In Stock,2028-05-08,Apollo Distributors,269.49,Rack-1 / Shelf-2,2025-06-03
STK00165,MED00165,Omeprazole 20mg,BAT241533,6,68,Low Stock,2027-01-12,MedPlus Wholesale,540.92,Rack-9 / Shelf-3,2025-04-07
STK00166,MED00166,Metformin 500mg,BAT240542,321,58,In Stock,2028-11-18,Apollo Distributors,670.67,Rack-4 / Shelf-6,2025-05-21
STK00167,MED00167,Azithromycin 500mg,BAT246729,362,25,In Stock,2027-01-19,Wellness Distributors,533.69,Rack-15 / Shelf-3,2026-02-24
STK00168,MED00168,Pantoprazole 40mg,BAT245163,169,50,In Stock,2027-05-06,Apollo Distributors,384.12,Rack-9 / Shelf-2,2026-07-21
STK00169,MED00169,Amlodipine 5mg,BAT243469,422,22,In Stock,2028-03-09,HealthKart Pharma,78.98,Rack-14 / Shelf-3,2026-07-31
STK00170,MED00170,Atorvastatin 10mg,BAT240886,467,34,In Stock,2027-04-19,Wellness Distributors,274.69,Rack-12 / Shelf-5,2026-04-07
STK00171,MED00171,Montelukast 10mg,BAT252707,471,76,In Stock,2028-08-02,Apollo Distributors,348.34,Rack-4 / Shelf-4,2026-06-09
STK00172,MED00172,Levocetirizine 5mg,BAT251808,489,38,In Stock,2026-11-16,City Medical Supply,238.94,Rack-12 / Shelf-2,2025-04-29
STK00173,MED00173,Vitamin D3 60000IU,BAT245051,22,58,Low Stock,2027-02-28,Wellness Distributors,375.09,Rack-20 / Shelf-3,2025-08-18
STK00174,MED00174,ORS Sachet,BAT249981,217,29,In Stock,2028-05-30,HealthKart Pharma,249.08,Rack-4 / Shelf-5,2025-04-18
STK00175,MED00175,Dolo 650mg,BAT252195,255,62,In Stock,2027-05-28,Apollo Distributors,553.89,Rack-5 / Shelf-3,2026-02-18
STK00176,MED00176,Cough Syrup 100ml,BAT254737,75,44,In Stock,2028-09-06,Wellness Distributors,571.74,Rack-4 / Shelf-7,2025-03-27
STK00177,MED00177,Calcium 500mg,BAT244840,372,37,In Stock,2026-11-30,HealthKart Pharma,696.38,Rack-6 / Shelf-7,2026-02-01
STK00178,MED00178,Losartan 50mg,BAT253988,163,51,In Stock,2028-01-04,Wellness Distributors,424.41,Rack-11 / Shelf-3,2025-06-16
