Report_ID,Report_Date,Report_Type,Period,Total_Sales_INR,Medicines_Sold,Patients_Handled,Prescriptions_Processed,Stock_Alerts,Expired_Items,Fraud_Risk_Alerts,Generated_By,Report_Status
REP00048,2026-02-25,Patient,Monthly,72653,394,47,29,8,4,4,Dr. Anil Verma,Reviewed
REP00049,2025-09-08,Inventory,Daily,42742,348,48,28,0,8,5,System,Pending Review
REP00050,2025-05-12,Prescription,Weekly,77517,366,31,54,9,10,8,Dr. Meera Shah,Reviewed
REP00051,2025-05-14,Patient,Monthly,37167,318,71,32,30,12,0,Pharmacist,Generated
REP00052,2026-02-06,Inventory,Weekly,42057,164,29,45,7,6,5,Dr. Kavita Rao,Reviewed
REP00053,2025-10-13,Financial,Daily,83697,166,104,35,23,1,6,Pharmacist,Generated
REP00054,2025-03-31,Expiry,Monthly,23807,188,80,78,34,2,0,Dr. Kavita Rao,Pending Review
REP00055,2025-11-06,Inventory,Daily,48563,428,33,98,15,7,7,Dr. Rajesh Patel,Generated
REP00056,2025-09-23,Expiry,Monthly,51369,96,105,34,4,4,8,Dr. Sunil Joshi,Generated
REP00057,2026-04-16,Inventory,Daily,77558,287,22,78,3,10,1,Dr. Priya Nair,Reviewed
REP00058,2026-06-02,Patient,Daily,77394,151,22,79,13,15,4,Admin,Generated
REP00059,2025-10-07,Patient,Daily,73017,448,92,34,29,0,4,Dr. Anil Verma,Pending Review
REP00060,2026-03-15,Patient,Monthly,38138,218,74,71,32,9,4,Dr. Sunil Joshi,Pending Review
REP00061,2026-03-26,Expiry,Weekly,88566,307,49,90,28,3,2,Dr. Kavita Rao,Generated
REP00062,2026-02-18,Prescription,Weekly,79983,133,32,18,27,9,1,Dr. Kavita Rao,Reviewed
REP00063,2025-09-08,Financial,Monthly,38941,149,109,23,14,6,4,System,Reviewed
REP00064,2026-02-18,Fraud,Monthly,76849,102,97,48,13,4,5,Dr. Rajesh Patel,Generated
REP00065,2025-07-04,Patient,Daily,35701,362,94,30,20,15,6,Dr. Sunil Joshi,Generated
REP00066,2025-04-10,Expiry,Weekly,54795,239,28,49,21,11,5,Dr. Kavita Rao,Reviewed
REP00067,2025-12-26,Prescription,Weekly,69673,52,107,130,25,1,6,Dr. Meera Shah,Pending Review
REP00068,2025-06-14,Inventory,Weekly,50940,59,114,100,12,6,4,Dr. Sunil Joshi,Reviewed
REP00069,2026-07-19,Expiry,Weekly,65122,216,81,81,12,6,8,Dr. Kavita Rao,Reviewed
REP00070,2026-06-07,Sales,Daily,36026,216,102,71,30,1,6,Dr. Kavita Rao,Generated
REP00071,2026-03-10,Prescription,Monthly,64154,80,22,17,21,8,8,Dr. Meera Shah,Reviewed
REP00072,2025-04-15,Expiry,Daily,76845,118,105,19,20,13,2,Dr. Rajesh Patel,Pending Review
REP00073,2026-02-28,Prescription,Daily,88641,95,66,41,20,8,8,System,Reviewed
REP00074,2025-08-12,Sales,Daily,23913,408,101,104,20,11,7,Dr. Priya Nair,Generated
REP00075,2026-02-17,Patient,Daily,75398,235,52,35,16,8,0,Dr. Rajesh Patel,Generated
REP00076,2025-09-06,Patient,Weekly,66944,299,112,16,33,1,8,Dr. Meera Shah,Generated
REP00077,2025-10-15,Patient,Daily,81088,217,111,78,31,9,5,Pharmacist,Generated
REP00078,2025-07-20,Sales,Monthly,27077,335,109,24,34,5,8,Dr. Neha Singh,Pending Review
REP00079,2025-04-15,Patient,Monthly,40020,434,19,108,27,8,7,Dr. Kavita Rao,Pending Review
REP00080,2026-05-15,Financial,Weekly,24571,143,92,83,21,14,8,Dr. Anil Verma,Generated
REP00081,2026-01-07,Prescription,Weekly,15832,369,116,59,1,0,3,Dr. Meera Shah,Reviewed
REP00082,2026-05-15,Expiry,Daily,57810,322,68,93,12,11,2,Dr. Priya Nair,Generated
REP00083,2026-04-17,Expiry,Daily,28224,63,78,87,2,4,8,Dr. Meera Shah,Generated
REP00084,2026-02-14,Fraud,Weekly,45160,386,36,35,19,5,6,Dr. Sunil Joshi,Generated
REP00085,2025-04-08,Inventory,Weekly,18577,120,66,25,24,0,7,Dr. Priya Nair,Reviewed
REP00086,2026-07-06,Patient,Weekly,67321,151,36,108,24,3,1,Dr. Rajesh Patel,Pending Review
REP00087,2025-04-20,Prescription,Monthly,82698,112,30,106,13,3,7,Admin,Reviewed
REP00088,2025-07-13,Expiry,Weekly,40032,157,21,112,32,11,7,Dr. Sunil Joshi,Pending Review
REP00089,2026-06-04,Patient,Daily,15951,244,112,63,25,3,5,Dr. Meera Shah,Reviewed
REP00090,2025-05-29,Sales,Weekly,54412,167,99,20,24,15,0,Dr. Sunil Joshi,Pending Review
REP00091,2025-09-03,Expiry,Daily,33446,177,32,82,0,4,8,Dr. Rajesh Patel,Generated
REP00092,2025-08-10,Patient,Daily,23019,355,112,36,18,11,6,Dr. Rajesh Patel,Reviewed
REP00093,2026-05-04,Inventory,Monthly,34841,429,113,113,11,11,1,Dr. Rajesh Patel,Generated
REP00094,2025-11-19,Inventory,Weekly,67907,370,57,126,16,10,0,Dr. Amit Kumar,Reviewed
REP00095,2026-07-17,Patient,Daily,33919,258,15,79,24,5,2,Dr. Neha Singh,Generated
REP00096,2026-02-03,Inventory,Daily,70034,83,24,70,29,13,8,Dr. Kavita Rao,Generated
REP00097,2025-05-19,Prescription,Monthly,15094,209,70,70,16,4,5,Pharmacist,Pending Review
REP00098,2026-01-25,Prescription,Monthly,27635,294,73,105,12,4,3,System,Generated
REP00099,2025-06-14,Inventory,Daily,25772,430,22,101,25,9,1,Dr. Priya Nair,Generated
REP00100,2026-03-25,Inventory,Monthly,54466,218,100,69,33,8,2,Dr. Meera Shah,Reviewed
REP00101,2026-01-21,Financial,Daily,19485,432,112,59,3,6,2,Dr. Amit Kumar,Generated
REP00102,2025-09-10,Sales,Daily,36218,253,51,11,30,15,5,Dr. Priya Nair,Pending Review
REP00103,2025-05-12,Fraud,Monthly,68170,281,37,68,16,14,1,Dr. Sunil Joshi,Pending Review
REP00104,2025-07-03,Prescription,Weekly,59204,145,42,53,31,14,1,Pharmacist,Reviewed
REP00105,2025-07-06,Prescription,Weekly,23272,450,56,64,1,4,1,Dr. Priya Nair,Reviewed
REP00106,2025-06-02,Sales,Daily,87150,414,47,26,22,9,7,Dr. Anil Verma,Pending Review
REP00107,2025-04-06,Sales,Monthly,38935,253,114,130,32,6,2,Pharmacist,Generated
REP00108,2025-06-29,Sales,Daily,61391,319,86,109,9,1,8,Dr. Meera Shah,Pending Review
REP00109,2026-04-05,Financial,Monthly,36856,241,30,22,10,7,2,System,Pending Review
REP00110,2025-12-26,Fraud,Daily,51493,75,61,47,24,13,7,Dr. Kavita Rao,Reviewed
REP00111,2026-05-23,Financial,Weekly,15046,88,42,100,35,9,3,Admin,Pending Review
REP00112,2025-03-27,Sales,Daily,68788,121,28,71,10,7,6,Dr. Rajesh Patel,Pending Review
REP00113,2025-12-29,Patient,Monthly,40345,177,116,54,4,7,4,Dr. Rajesh Patel,Reviewed
REP00114,2026-05-29,Financial,Monthly,34902,155,66,28,17,10,0,Pharmacist,Generated
REP00115,2025-11-07,Expiry,Monthly,28449,445,90,86,30,7,7,Dr. Sunil Joshi,Generated
REP00116,2025-10-27,Financial,Monthly,74554,128,19,122,21,8,0,Dr. Anil Verma,Reviewed
REP00117,2026-06-04,Financial,Weekly,70824,349,31,122,31,9,3,System,Generated
REP00118,2026-06-16,Financial,Monthly,62520,173,118,95,31,13,6,Dr. Amit Kumar,Pending Review
REP00119,2026-06-08,Fraud,Weekly,51158,178,91,75,21,13,4,Dr. Meera Shah,Generated
REP00120,2026-07-25,Sales,Monthly,78641,174,84,73,14,13,4,Dr. Neha Singh,Pending Review
REP00121,2025-11-24,Prescription,Monthly,89136,242,87,76,24,1,1,Admin,Pending Review
REP00122,2025-03-30,Sales,Monthly,27440,110,107,40,23,13,6,Dr. Amit Kumar,Reviewed
REP00123,2025-09-03,Fraud,Weekly,75390,343,120,76,2,12,6,Pharmacist,Generated
REP00124,2026-04-12,Prescription,Daily,18164,372,52,22,18,13,0,Dr. Kavita Rao,Reviewed
REP00125,2026-01-29,Fraud,Monthly,60095,230,41,45,28,1,5,Dr. Kavita Rao,Pending Review
REP00126,2025-09-09,Expiry,Daily,42443,335,108,120,35,10,6,Dr. Meera Shah,Generated
REP00127,2025-05-25,Patient,Daily,58747,230,88,78,14,10,4,Dr. Neha Singh,Pending Review
REP00128,2026-06-15,Financial,Weekly,56015,368,73,91,11,12,3,Dr. Sunil Joshi,Pending Review
REP00129,2025-11-25,Expiry,Weekly,72379,235,106,30,10,10,0,Dr. Neha Singh,Generated
REP00130,2025-10-07,Expiry,Monthly,88463,201,106,81,34,5,6,Admin,Pending Review
REP00131,2026-06-23,Inventory,Daily,26867,414,86,127,25,8,2,Dr. Meera Shah,Pending Review
REP00132,2026-01-31,Patient,Daily,65494,103,118,104,18,2,5,Dr. Priya Nair,Reviewed
REP00133,2025-06-04,Sales,Daily,86825,129,95,45,1,15,3,Dr. Priya Nair,Generated
REP00134,2025-05-09,Inventory,Weekly,43307,124,11,47,15,0,7,Dr. Kavita Rao,Reviewed
REP00135,2025-10-20,Prescription,Monthly,40197,261,33,118,33,12,6,Dr. Sunil Joshi,Pending Review
REP00136,2025-06-19,Expiry,Weekly,71533,239,56,125,15,10,8,Dr. Meera Shah,Generated
REP00137,2025-03-28,Financial,Daily,57160,409,41,111,34,4,1,System,Pending Review
REP00138,2025-11-30,Prescription,Weekly,28737,359,39,102,22,7,7,Dr. Sunil Joshi,Pending Review
REP00139,2025-05-29,Sales,Weekly,72392,304,85,65,4,5,0,System,Reviewed
REP00140,2025-10-18,Financial,Daily,60561,294,100,28,4,11,1,Dr. Sunil Joshi,Pending Review
REP00141,2026-03-24,Financial,Daily,79331,270,100,107,8,12,3,Pharmacist,Reviewed
REP00142,2026-02-23,Prescription,Monthly,54932,219,39,82,32,13,2,System,Pending Review
REP00143,2025-10-04,Expiry,Daily,21943,414,106,55,7,2,1,System,Reviewed
REP00144,2025-07-23,Inventory,Monthly,40509,177,86,109,11,5,0,Pharmacist,Reviewed
REP00145,2025-07-23,Sales,Weekly,26679,98,61,83,24,13,6,Dr. Kavita Rao,Generated
REP00146,2025-05-24,Expiry,Daily,27564,209,55,32,27,8,7,Dr. Neha Singh,Generated
REP00147,2026-03-20,Patient,Daily,44706,229,92,91,5,10,7,Dr. Neha Singh,Pending Review
REP00148,2026-03-22,Sales,Monthly,22982,335,17,97,23,3,2,Dr. Amit Kumar,Pending Review
REP00149,2026-07-25,Sales,Weekly,65430,206,13,112,23,2,2,Dr. Priya Nair,Pending Review
REP00150,2025-09-17,Patient,Daily,85151,161,54,22,9,11,2,Dr. Kavita Rao,Pending Review
REP00151,2025-05-24,Fraud,Daily,81496,126,114,114,28,0,0,System,Generated
REP00152,2025-06-13,Expiry,Weekly,29126,228,97,33,33,5,1,Dr. Kavita Rao,Generated
REP00153,2025-09-26,Inventory,Monthly,59223,282,94,80,24,14,1,Pharmacist,Pending Review
REP00154,2026-06-28,Expiry,Daily,62932,122,40,114,31,6,6,Dr. Amit Kumar,Reviewed
REP00155,2026-07-01,Patient,Monthly,27947,316,21,94,20,12,8,Pharmacist,Generated
REP00156,2026-03-09,Expiry,Daily,73707,440,35,47,27,12,6,Dr. Anil Verma,Generated
REP00157,2025-11-22,Sales,Weekly,28673,214,81,71,24,9,7,Dr. Sunil Joshi,Pending Review
REP00158,2025-08-08,Sales,Monthly,20456,146,21,49,34,5,5,Dr. Amit Kumar,Pending Review
REP00159,2026-07-17,Sales,Weekly,65449,146,55,78,3,13,8,System,Generated
REP00160,2025-11-13,Expiry,Monthly,20861,159,22,68,11,7,5,Dr. Neha Singh,Pending Review
REP00161,2026-04-18,Patient,Daily,89861,377,88,11,2,12,3,Dr. Neha Singh,Reviewed
REP00162,2026-07-29,Inventory,Monthly,58352,140,59,115,14,11,6,Dr. Amit Kumar,Generated
REP00163,2026-05-20,Prescription,Daily,48840,266,97,83,19,6,4,Dr. Anil Verma,Pending Review
REP00164,2026-07-26,Patient,Weekly,64431,192,117,125,12,15,4,Admin,Generated
REP00165,2025-09-14,Financial,Weekly,20478,406,108,67,8,7,1,Pharmacist,Generated
REP00166,2026-06-02,Inventory,Weekly,23716,143,78,51,10,8,6,Dr. Sunil Joshi,Pending Review
REP00167,2026-03-07,Expiry,Monthly,49275,105,107,25,25,6,1,System,Reviewed
REP00168,2026-04-20,Inventory,Monthly,19678,290,71,23,7,7,0,Dr. Anil Verma,Generated
REP00169,2026-06-19,Fraud,Monthly,23834,173,65,88,23,14,2,Dr. Kavita Rao,Pending Review
REP00170,2025-07-03,Sales,Monthly,81010,442,34,108,13,10,0,Admin,Generated
REP00171,2025-04-02,Inventory,Weekly,47873,139,54,69,12,1,6,Dr. Anil Verma,Generated
REP00172,2025-04-03,Expiry,Monthly,23342,165,33,90,12,10,7,Dr. Amit Kumar,Reviewed
REP00173,2026-06-26,Fraud,Daily,84278,197,81,30,9,10,0,Dr. Neha Singh,Pending Review
REP00174,2026-06-28,Patient,Monthly,85028,58,89,102,10,10,5,Dr. Amit Kumar,Generated
REP00175,2025-04-26,Sales,Monthly,45626,53,58,10,3,12,1,Dr. Priya Nair,Pending Review
REP00176,2026-07-13,Prescription,Monthly,24689,60,93,115,30,12,4,Pharmacist,Pending Review
REP00177,2026-01-14,Patient,Monthly,46151,399,72,88,16,11,7,Dr. Kavita Rao,Generated
REP00178,2025-12-11,Prescription,Weekly,44339,123,46,91,11,12,4,Dr. Rajesh Patel,Reviewed
REP00179,2025-07-18,Sales,Weekly,54302,123,15,68,26,7,6,Dr. Rajesh Patel,Pending Review
REP00180,2026-02-01,Inventory,Weekly,70199,263,68,103,28,14,6,Dr. Kavita Rao,Reviewed
REP00181,2026-02-09,Expiry,Monthly,67282,118,102,77,13,7,3,Dr. Priya Nair,Pending Review
REP00182,2026-04-23,Fraud,Monthly,62633,287,80,120,26,11,4,Dr. Priya Nair,Reviewed
REP00183,2026-05-20,Patient,Daily,86149,383,67,48,26,1,3,Dr. Priya Nair,Reviewed
REP00184,2025-10-22,Inventory,Monthly,65369,314,65,33,28,0,3,Dr. Anil Verma,Pending Review
REP00185,2025-08-24,Inventory,Weekly,88841,443,29,92,25,6,2,Dr. Anil Verma,Reviewed
REP00186,2025-12-04,Inventory,Monthly,32112,440,72,50,33,1,1,Dr. Neha Singh,Generated
REP00187,2026-07-21,Sales,Daily,58451,96,50,129,22,6,2,Dr. Priya Nair,Reviewed
REP00188,2025-05-27,Sales,Weekly,56353,348,116,67,30,10,2,Dr. Sunil Joshi,Reviewed
REP00189,2026-06-10,Fraud,Monthly,35946,127,30,63,7,13,2,System,Pending Review
REP00190,2025-09-13,Patient,Monthly,51861,403,118,125,15,3,2,Dr. Kavita Rao,Generated
REP00191,2025-07-10,Sales,Daily,64931,292,58,71,10,0,5,Dr. Kavita Rao,Pending Review
REP00192,2025-10-12,Inventory,Weekly,17602,301,95,82,22,10,1,Dr. Meera Shah,Generated
REP00193,2026-05-02,Inventory,Monthly,54335,396,60,127,9,3,3,Pharmacist,Reviewed
REP00194,2026-03-04,Financial,Daily,61492,358,112,73,1,13,2,Dr. Meera Shah,Reviewed
REP00195,2026-04-24,Prescription,Weekly,83214,62,72,50,10,1,3,Dr. Sunil Joshi,Reviewed
REP00196,2025-12-14,Patient,Weekly,20302,189,105,107,29,2,5,System,Generated
REP00197,2026-05-26,Fraud,Monthly,16399,426,83,12,19,12,3,Dr. Kavita Rao,Reviewed
REP00198,2026-01-14,Sales,Monthly,50426,406,58,52,23,13,6,Dr. Meera Shah,Generated
REP00199,2025-04-05,Expiry,Monthly,49286,332,34,72,18,8,1,Dr. Kavita Rao,Pending Review
REP00200,2026-06-18,Fraud,Monthly,56761,310,24,12,8,3,3,Dr. Neha Singh,Generated
REP00201,2026-01-21,Sales,Daily,89961,171,109,21,4,0,0,Dr. Meera Shah,Pending Review
REP00202,2026-06-25,Inventory,Monthly,75393,373,52,110,6,3,0,Dr. Rajesh Patel,Generated
REP00203,2025-04-17,Financial,Daily,39323,96,101,21,0,13,3,Dr. Priya Nair,Generated
REP00204,2025-07-29,Sales,Weekly,56996,370,77,34,30,6,7,Admin,Pending Review
REP00205,2026-04-27,Patient,Weekly,23030,276,33,74,0,2,2,Dr. Priya Nair,Reviewed
REP00206,2026-05-19,Prescription,Monthly,39817,408,25,99,4,6,2,Dr. Meera Shah,Generated
REP00207,2026-05-09,Patient,Monthly,53891,357,62,74,18,6,6,Dr. Sunil Joshi,Reviewed
REP00208,2025-07-20,Inventory,Monthly,15915,385,97,42,18,5,1,Dr. Amit Kumar,Generated
REP00209,2025-11-21,Expiry,Monthly,22917,367,106,114,27,2,7,Dr. Amit Kumar,Pending Review
REP00210,2025-08-20,Sales,Weekly,62379,407,97,87,4,8,5,Dr. Kavita Rao,Reviewed
REP00211,2025-07-16,Fraud,Weekly,63554,305,48,107,31,10,8,Dr. Priya Nair,Generated
REP00212,2025-10-04,Inventory,Daily,61254,259,69,122,29,10,6,Dr. Kavita Rao,Reviewed
REP00213,2025-12-12,Inventory,Daily,65536,264,13,121,8,10,6,Pharmacist,Generated
REP00214,2026-01-08,Expiry,Daily,71935,388,32,29,11,6,1,Dr. Amit Kumar,Reviewed
REP00215,2025-12-02,Inventory,Weekly,59212,151,12,73,25,5,4,System,Reviewed
REP00216,2026-04-06,Inventory,Weekly,80422,271,65,119,10,15,0,Dr. Meera Shah,Generated
REP00217,2026-06-27,Expiry,Monthly,77482,361,47,28,15,15,3,Dr. Anil Verma,Reviewed
REP00218,2026-07-25,Expiry,Monthly,35788,223,90,49,27,3,2,System,Reviewed
REP00219,2026-02-07,Financial,Weekly,31794,239,82,70,4,0,7,Dr. Meera Shah,Reviewed
REP00220,2026-03-27,Inventory,Weekly,45597,210,91,127,30,8,8,Dr. Meera Shah,Pending Review
REP00221,2025-06-20,Expiry,Monthly,40477,115,51,110,14,7,3,Dr. Kavita Rao,Pending Review
REP00222,2025-12-03,Sales,Weekly,81972,98,59,106,9,10,1,System,Reviewed
REP00223,2025-12-07,Prescription,Monthly,49866,84,67,59,12,8,2,Dr. Meera Shah,Generated
REP00224,2025-12-01,Inventory,Daily,15400,217,55,115,30,4,4,Dr. Meera Shah,Reviewed
REP00225,2026-02-21,Prescription,Monthly,41222,380,34,128,7,9,0,Dr. Priya Nair,Pending Review
REP00226,2025-06-17,Prescription,Weekly,47535,242,64,99,0,9,4,Dr. Priya Nair,Generated
REP00227,2026-03-02,Sales,Daily,70236,90,57,69,9,14,6,System,Generated
REP00228,2025-09-30,Patient,Weekly,29122,190,68,45,12,14,4,Dr. Rajesh Patel,Pending Review
REP00229,2026-05-27,Expiry,Daily,31241,76,51,80,30,11,2,Dr. Meera Shah,Pending Review
REP00230,2026-01-20,Prescription,Daily,71919,380,51,60,11,10,0,Pharmacist,Reviewed
REP00231,2026-02-16,Prescription,Monthly,20161,311,17,102,8,15,1,Dr. Neha Singh,Generated
REP00232,2026-05-15,Sales,Monthly,36414,415,40,21,23,11,5,Dr. Neha Singh,Reviewed
REP00233,2026-02-06,Fraud,Daily,79547,255,79,17,33,13,6,Dr. Rajesh Patel,Pending Review
REP00234,2025-06-05,Sales,Daily,73785,131,24,107,16,7,3,Dr. Amit Kumar,Pending Review
REP00235,2025-08-16,Prescription,Daily,21879,379,117,99,14,15,0,Dr. Amit Kumar,Generated
REP00236,2025-07-08,Inventory,Daily,33045,306,50,51,24,12,0,System,Reviewed
REP00237,2025-11-21,Sales,Monthly,69386,331,18,15,12,1,3,Dr. Priya Nair,Pending Review
REP00238,2025-11-22,Sales,Weekly,25567,347,57,75,10,12,3,Dr. Rajesh Patel,Pending Review
REP00239,2026-07-28,Financial,Monthly,51885,186,81,57,32,12,2,Dr. Priya Nair,Pending Review
REP00240,2026-03-22,Expiry,Daily,57868,183,60,25,18,14,0,Dr. Kavita Rao,Pending Review
REP00241,2025-03-23,Financial,Monthly,82083,444,61,36,11,3,0,Dr. Anil Verma,Generated
REP00242,2025-07-16,Fraud,Daily,41233,438,82,104,19,6,4,Dr. Meera Shah,Reviewed
REP00243,2026-07-04,Financial,Monthly,45121,340,117,42,13,0,4,Dr. Amit Kumar,Generated
REP00244,2025-06-02,Inventory,Weekly,42047,305,102,59,20,14,6,Admin,Generated
REP00245,2025-04-16,Patient,Weekly,88509,355,46,111,15,2,1,Dr. Amit Kumar,Generated
REP00246,2025-09-17,Sales,Daily,50944,50,48,66,24,5,1,Dr. Amit Kumar,Reviewed
REP00247,2026-04-12,Financial,Daily,70465,429,57,19,17,13,0,Dr. Sunil Joshi,Generated
REP00248,2025-04-27,Sales,Weekly,33591,184,68,129,13,3,0,Dr. Kavita Rao,Generated
REP00249,2026-07-24,Sales,Daily,45776,283,84,98,35,8,4,Dr. Amit Kumar,Pending Review
REP00250,2025-10-16,Patient,Daily,35092,160,18,60,24,0,0,Dr. Kavita Rao,Reviewed
REP00251,2025-06-01,Patient,Weekly,37940,56,83,124,2,2,4,Dr. Sunil Joshi,Pending Review
REP00252,2025-11-28,Inventory,Weekly,18199,393,44,121,12,7,7,Dr. Amit Kumar,Pending Review
REP00253,2026-07-09,Fraud,Monthly,72061,336,99,72,14,1,4,Dr. Meera Shah,Generated
REP00254,2025-09-28,Expiry,Weekly,76928,328,30,57,23,4,5,Pharmacist,Reviewed
REP00255,2026-01-04,Inventory,Monthly,67662,240,69,54,18,4,7,Pharmacist,Pending Review
REP00256,2026-01-04,Expiry,Weekly,26330,358,42,123,8,10,5,Pharmacist,Reviewed
REP00257,2025-12-13,Fraud,Monthly,36532,71,53,74,9,10,8,Pharmacist,Pending Review
REP00258,2026-05-11,Fraud,Monthly,33287,155,115,98,25,2,6,Dr. Neha Singh,Pending Review
REP00259,2025-10-26,Sales,Monthly,28607,344,10,42,35,5,3,Pharmacist,Pending Review
REP00260,2025-06-23,Expiry,Weekly,30325,216,103,117,23,12,8,Pharmacist,Reviewed
REP00261,2026-04-10,Prescription,Weekly,68477,402,106,23,14,14,2,Dr. Priya Nair,Pending Review
REP00262,2026-07-31,Fraud,Monthly,29129,303,28,127,4,9,3,Dr. Anil Verma,Reviewed
REP00263,2025-06-04,Inventory,Monthly,27659,147,13,12,1,9,1,Dr. Priya Nair,Generated
REP00264,2025-06-03,Fraud,Monthly,24350,84,42,67,7,13,5,Pharmacist,Reviewed
REP00265,2026-07-26,Financial,Monthly,54349,225,59,57,13,9,6,Admin,Pending Review
REP00266,2025-04-17,Patient,Monthly,20488,397,72,14,31,10,5,Dr. Amit Kumar,Reviewed
REP00267,2025-08-07,Patient,Weekly,85650,444,22,64,22,15,0,Dr. Anil Verma,Generated
