Record_ID,Date,Total_Sales_INR,Medicines_Sold,New_Patients,Stock_Alerts,Prescriptions,Consultations,Active_Patients,Low_Stock_Items,Out_Of_Stock_Items,Top_Selling_Medicine
DASH0023,2025-08-23,54301,197,48,2,34,60,1346,6,3,Cetirizine 10mg
DASH0024,2025-08-24,20058,249,29,18,55,32,1385,20,3,Losartan 50mg
DASH0025,2025-08-25,26671,322,51,27,85,66,1116,11,1,Ibuprofen 400mg
DASH0026,2025-08-26,61187,300,65,15,77,44,1446,6,10,Ibuprofen 400mg
DASH0027,2025-08-27,21972,286,63,27,38,30,896,11,8,Dolo 650mg
DASH0028,2025-08-28,27186,296,43,10,84,30,777,19,12,Losartan 50mg
DASH0029,2025-08-29,24416,105,89,28,26,20,1471,32,3,Metformin 500mg
DASH0030,2025-08-30,44634,328,81,8,76,72,760,10,6,Paracetamol 500mg
DASH0031,2025-08-31,43586,215,78,11,79,59,1448,30,8,Cough Syrup 100ml
DASH0032,2025-09-01,28144,177,57,8,32,52,1453,22,0,Montelukast 10mg
DASH0033,2025-09-02,21746,105,81,18,92,25,758,35,8,Cetirizine 10mg
DASH0034,2025-09-03,30178,115,28,23,55,40,822,35,9,Pantoprazole 40mg
DASH0035,2025-09-04,55940,100,30,15,99,51,1235,15,4,Azithromycin 500mg
DASH0036,2025-09-05,61891,240,50,10,75,23,1387,25,4,Dolo 650mg
DASH0037,2025-09-06,38720,117,21,16,97,21,775,22,3,Calcium 500mg
DASH0038,2025-09-07,35380,147,64,30,33,71,950,16,4,Metformin 500mg
DASH0039,2025-09-08,46716,234,87,2,95,34,1379,8,2,Amlodipine 5mg
DASH0040,2025-09-09,25564,134,90,6,59,33,1319,11,11,Montelukast 10mg
DASH0041,2025-09-10,31342,215,84,17,57,72,752,7,10,ORS Sachet
DASH0042,2025-09-11,36132,102,20,12,41,55,968,10,11,Dolo 650mg
DASH0043,2025-09-12,54154,298,21,5,34,75,1407,33,2,Losartan 50mg
DASH0044,2025-09-13,20361,269,90,6,80,23,742,14,5,Amoxicillin 250mg
DASH0045,2025-09-14,41449,187,51,23,38,37,1498,22,6,Salbutamol 4mg
DASH0046,2025-09-15,28128,201,40,27,47,71,1122,5,2,Montelukast 10mg
DASH0047,2025-09-16,44982,207,54,7,38,39,739,32,7,Pantoprazole 40mg
DASH0048,2025-09-17,31079,315,64,11,54,29,724,26,3,Vitamin D3 60000IU
DASH0049,2025-09-18,39512,222,28,26,60,37,1356,21,6,Losartan 50mg
DASH0050,2025-09-19,39702,94,34,30,58,26,1294,35,4,Amoxicillin 250mg
DASH0051,2025-09-20,25104,302,64,25,65,42,1320,21,1,Vitamin D3 60000IU
DASH0052,2025-09-21,55787,177,52,3,80,15,1232,34,12,Losartan 50mg
DASH0053,2025-09-22,63013,180,66,15,33,75,1380,34,5,Salbutamol 4mg
DASH0054,2025-09-23,38572,143,58,18,64,57,1118,15,6,Atorvastatin 10mg
DASH0055,2025-09-24,54333,145,44,15,73,58,1466,33,2,Salbutamol 4mg
DASH0056,2025-09-25,55296,234,71,19,25,34,993,11,6,Rabeprazole 20mg
DASH0057,2025-09-26,57758,244,79,16,81,58,918,21,7,Metformin 500mg
DASH0058,2025-09-27,61178,123,56,18,67,20,1469,12,10,Atorvastatin 10mg
DASH0059,2025-09-28,32722,181,38,2,30,30,1186,24,12,Cetirizine 10mg
DASH0060,2025-09-29,47846,292,44,24,74,46,1109,12,2,Paracetamol 500mg
DASH0061,2025-09-30,24985,297,48,7,91,44,751,22,3,Ibuprofen 400mg
DASH0062,2025-10-01,47914,148,79,23,92,50,1309,15,12,Dolo 650mg
DASH0063,2025-10-02,58150,338,74,28,95,43,862,28,7,Dolo 650mg
DASH0064,2025-10-03,34986,206,55,26,91,46,1341,12,4,Dolo 650mg
DASH0065,2025-10-04,23077,226,50,10,67,35,1253,7,2,Omeprazole 20mg
DASH0066,2025-10-05,33155,276,39,24,52,19,1124,18,5,Losartan 50mg
DASH0067,2025-10-06,48534,292,27,8,78,39,1488,23,11,Paracetamol 500mg
DASH0068,2025-10-07,55728,274,81,2,70,34,1471,17,6,Losartan 50mg
DASH0069,2025-10-08,53791,192,82,9,59,42,1197,5,6,Montelukast 10mg
DASH0070,2025-10-09,61835,287,41,28,84,73,830,24,8,Paracetamol 500mg
DASH0071,2025-10-10,43822,93,30,22,79,23,1172,10,0,Amlodipine 5mg
DASH0072,2025-10-11,42844,247,47,16,66,36,1479,33,6,Amlodipine 5mg
DASH0073,2025-10-12,45627,209,30,17,27,62,1252,6,5,Pantoprazole 40mg
DASH0074,2025-10-13,60607,115,25,26,28,75,953,11,0,Salbutamol 4mg
DASH0075,2025-10-14,27986,202,36,17,39,51,923,19,11,Amlodipine 5mg
DASH0076,2025-10-15,42175,165,34,26,45,34,810,23,0,Atorvastatin 10mg
DASH0077,2025-10-16,55735,272,70,24,50,19,1306,27,10,Pantoprazole 40mg
DASH0078,2025-10-17,24678,234,35,27,97,65,742,16,8,ORS Sachet
DASH0079,2025-10-18,61353,269,28,18,68,15,1130,31,7,Ibuprofen 400mg
DASH0080,2025-10-19,46411,265,78,24,44,42,880,28,8,Amlodipine 5mg
DASH0081,2025-10-20,58364,327,79,15,100,32,1030,32,3,Cetirizine 10mg
DASH0082,2025-10-21,36279,310,51,26,84,51,1324,26,6,Montelukast 10mg
DASH0083,2025-10-22,19880,333,61,7,87,28,1063,30,4,Montelukast 10mg
DASH0084,2025-10-23,36327,221,21,18,49,20,947,28,6,Cough Syrup 100ml
DASH0085,2025-10-24,54384,203,80,22,87,43,717,7,4,Pantoprazole 40mg
DASH0086,2025-10-25,44502,204,59,23,99,38,1184,22,8,Levocetirizine 5mg
DASH0087,2025-10-26,45885,249,65,24,83,32,1013,13,3,Ibuprofen 400mg
DASH0088,2025-10-27,30621,241,35,25,93,75,1480,27,2,Azithromycin 500mg
DASH0089,2025-10-28,32180,327,55,25,100,63,1237,24,4,Ibuprofen 400mg
DASH0090,2025-10-29,30721,231,49,13,47,34,714,27,8,Omeprazole 20mg
DASH0091,2025-10-30,35977,103,26,19,62,59,829,25,12,Cough Syrup 100ml
DASH0092,2025-10-31,24723,86,56,17,86,43,1048,10,0,Amlodipine 5mg
DASH0093,2025-11-01,49308,138,28,14,87,19,1290,25,10,Amoxicillin 250mg
DASH0094,2025-11-02,27943,156,58,4,56,22,1271,29,6,Salbutamol 4mg
DASH0095,2025-11-03,57067,195,86,14,82,73,1153,14,9,ORS Sachet
DASH0096,2025-11-04,38013,110,32,26,51,55,916,13,10,Cetirizine 10mg
DASH0097,2025-11-05,28292,202,42,19,34,25,702,18,7,Salbutamol 4mg
DASH0098,2025-11-06,48796,229,24,9,61,60,989,27,7,Cetirizine 10mg
DASH0099,2025-11-07,63048,199,53,27,100,57,902,18,1,Losartan 50mg
DASH0100,2025-11-08,32733,156,54,28,43,19,761,10,12,Atorvastatin 10mg
DASH0101,2025-11-09,56996,227,76,5,84,59,1011,27,6,Amlodipine 5mg
DASH0102,2025-11-10,50798,332,76,4,30,71,1142,28,5,Salbutamol 4mg
DASH0103,2025-11-11,34408,93,31,9,98,52,721,29,10,Amlodipine 5mg
DASH0104,2025-11-12,55764,100,42,17,91,56,1152,34,4,Metformin 500mg
DASH0105,2025-11-13,56360,303,82,4,85,37,1118,15,5,Ibuprofen 400mg
DASH0106,2025-11-14,28539,248,72,24,88,33,1378,35,6,Losartan 50mg
DASH0107,2025-11-15,20404,312,31,12,57,35,818,29,6,Calcium 500mg
DASH0108,2025-11-16,18075,316,72,3,49,48,1070,24,12,Cough Syrup 100ml
DASH0109,2025-11-17,58986,306,26,8,59,50,834,34,4,Dolo 650mg
DASH0110,2025-11-18,63760,328,35,2,55,60,862,14,8,Paracetamol 500mg
DASH0111,2025-11-19,54192,288,31,9,39,44,820,25,2,Cough Syrup 100ml
DASH0112,2025-11-20,64963,229,85,24,59,41,1194,20,3,Dolo 650mg
DASH0113,2025-11-21,54127,154,69,8,90,62,839,32,1,Amlodipine 5mg
DASH0114,2025-11-22,45193,254,84,10,25,33,1443,14,9,Rabeprazole 20mg
DASH0115,2025-11-23,61249,330,39,16,93,45,1053,15,8,Losartan 50mg
DASH0116,2025-11-24,42720,313,61,29,49,59,944,23,6,Pantoprazole 40mg
DASH0117,2025-11-25,44920,102,60,25,85,60,1090,17,10,Omeprazole 20mg
DASH0118,2025-11-26,50461,98,36,18,100,36,802,32,7,Ibuprofen 400mg
DASH0119,2025-11-27,52468,313,21,25,43,41,1370,9,1,Cough Syrup 100ml
DASH0120,2025-11-28,35368,253,70,22,35,69,1036,32,10,Losartan 50mg
DASH0121,2025-11-29,42904,242,82,29,94,17,1332,7,3,Atorvastatin 10mg
DASH0122,2025-11-30,32908,126,75,5,37,43,870,27,4,Paracetamol 500mg
DASH0123,2025-12-01,21014,246,27,11,70,38,1141,9,3,Calcium 500mg
DASH0124,2025-12-02,45004,172,41,7,35,54,1091,24,10,Pantoprazole 40mg
DASH0125,2025-12-03,50615,153,49,16,57,44,961,26,0,Dolo 650mg
DASH0126,2025-12-04,36850,160,29,16,69,52,1006,25,6,Amlodipine 5mg
DASH0127,2025-12-05,47939,234,45,14,86,21,942,17,9,Levocetirizine 5mg
DASH0128,2025-12-06,55670,231,57,2,75,32,708,23,10,Amoxicillin 250mg
DASH0129,2025-12-07,57741,334,56,26,54,53,1060,12,10,Azithromycin 500mg
DASH0130,2025-12-08,58690,208,37,22,37,72,1342,25,0,Atorvastatin 10mg
DASH0131,2025-12-09,46889,97,66,25,41,20,1002,15,11,ORS Sachet
DASH0132,2025-12-10,29510,182,36,27,94,71,1074,21,8,Amlodipine 5mg
DASH0133,2025-12-11,28783,211,81,27,62,62,1046,30,1,Dolo 650mg
DASH0134,2025-12-12,22934,152,48,29,75,69,1270,16,1,Vitamin D3 60000IU
DASH0135,2025-12-13,18912,215,88,5,83,38,1388,28,10,Amlodipine 5mg
DASH0136,2025-12-14,56309,275,67,5,54,45,725,24,8,Montelukast 10mg
DASH0137,2025-12-15,57982,193,28,22,84,73,1417,14,10,ORS Sachet
DASH0138,2025-12-16,25646,151,25,3,63,46,818,8,3,Losartan 50mg
DASH0139,2025-12-17,26890,278,78,13,94,41,1301,28,11,Omeprazole 20mg
DASH0140,2025-12-18,45189,130,82,21,77,75,986,6,11,Levocetirizine 5mg
DASH0141,2025-12-19,32238,307,76,9,71,21,1402,16,8,Levocetirizine 5mg
DASH0142,2025-12-20,21968,283,55,8,40,75,1165,7,10,Azithromycin 500mg
DASH0143,2025-12-21,60054,90,26,27,67,30,828,30,9,Azithromycin 500mg
DASH0144,2025-12-22,22496,186,47,28,54,36,1492,9,12,Salbutamol 4mg
DASH0145,2025-12-23,18185,221,38,6,94,31,878,8,10,Paracetamol 500mg
DASH0146,2025-12-24,26637,87,65,27,55,52,1031,5,2,Amlodipine 5mg
DASH0147,2025-12-25,21434,144,73,18,39,62,765,20,7,Levocetirizine 5mg
DASH0148,2025-12-26,51635,135,77,18,53,75,1329,6,11,Calcium 500mg
DASH0149,2025-12-27,37767,314,23,3,86,69,1111,18,10,Ibuprofen 400mg
DASH0150,2025-12-28,50130,307,29,30,35,35,1322,9,1,Omeprazole 20mg
DASH0151,2025-12-29,36023,246,68,21,92,33,1164,21,9,ORS Sachet
DASH0152,2025-12-30,24499,138,90,25,52,42,1162,33,3,ORS Sachet
DASH0153,2025-12-31,40212,312,71,15,37,35,1137,15,10,Amlodipine 5mg
DASH0154,2026-01-01,42530,158,80,4,36,68,787,7,6,Ibuprofen 400mg
DASH0155,2026-01-02,42421,146,27,20,96,50,1037,26,1,ORS Sachet
DASH0156,2026-01-03,41173,296,26,11,64,37,806,23,8,Azithromycin 500mg
DASH0157,2026-01-04,28140,326,48,29,38,37,1269,16,1,Amlodipine 5mg
DASH0158,2026-01-05,55624,195,74,29,96,64,1336,24,10,Losartan 50mg
DASH0159,2026-01-06,19720,216,23,7,59,59,1480,14,5,Levocetirizine 5mg
DASH0160,2026-01-07,18400,172,38,20,76,19,845,28,10,Paracetamol 500mg
DASH0161,2026-01-08,24013,190,68,15,83,36,861,16,4,Montelukast 10mg
DASH0162,2026-01-09,55197,123,26,6,45,63,1332,6,10,Cetirizine 10mg
DASH0163,2026-01-10,35832,306,74,17,81,41,979,11,12,Calcium 500mg
DASH0164,2026-01-11,25459,256,75,5,61,58,1394,23,7,Calcium 500mg
DASH0165,2026-01-12,61721,237,25,9,75,53,756,5,3,Atorvastatin 10mg
DASH0166,2026-01-13,31843,150,52,11,66,22,707,20,11,ORS Sachet
DASH0167,2026-01-14,29514,146,68,19,54,47,1272,31,10,Levocetirizine 5mg
DASH0168,2026-01-15,22723,283,25,15,27,44,779,32,5,Rabeprazole 20mg
DASH0169,2026-01-16,46133,287,73,11,39,40,721,35,5,Metformin 500mg
DASH0170,2026-01-17,58509,315,66,4,80,69,808,12,6,Rabeprazole 20mg
DASH0171,2026-01-18,44243,348,30,14,64,62,1047,12,5,Metformin 500mg
DASH0172,2026-01-19,23005,341,34,18,90,27,1494,16,5,Omeprazole 20mg
DASH0173,2026-01-20,33484,132,38,10,50,26,1316,9,12,Cetirizine 10mg
DASH0174,2026-01-21,29609,332,79,26,97,63,1293,19,10,Rabeprazole 20mg
DASH0175,2026-01-22,60139,245,60,6,81,19,1180,19,10,Atorvastatin 10mg
DASH0176,2026-01-23,36001,108,65,18,34,34,1172,19,0,Amoxicillin 250mg
DASH0177,2026-01-24,42165,226,29,22,36,54,1308,21,6,Dolo 650mg
DASH0178,2026-01-25,56032,101,77,27,98,56,892,15,9,Cough Syrup 100ml
DASH0179,2026-01-26,50857,157,27,16,38,66,1051,27,1,Calcium 500mg
DASH0180,2026-01-27,60344,168,25,9,81,43,1236,21,9,Metformin 500mg
DASH0181,2026-01-28,41848,270,56,14,77,64,1046,26,9,Amoxicillin 250mg
DASH0182,2026-01-29,59345,251,28,12,37,50,1394,17,4,Amlodipine 5mg
DASH0183,2026-01-30,61028,156,62,4,99,57,844,34,5,Atorvastatin 10mg
DASH0184,2026-01-31,60995,280,36,21,35,34,1272,17,10,Montelukast 10mg
DASH0185,2026-02-01,26375,349,31,22,79,47,1070,5,5,Atorvastatin 10mg
DASH0186,2026-02-02,29813,189,63,26,87,27,931,9,2,Cetirizine 10mg
DASH0187,2026-02-03,37385,131,84,26,94,68,1456,33,8,Amoxicillin 250mg
DASH0188,2026-02-04,61380,252,36,21,73,24,866,10,11,Salbutamol 4mg
DASH0189,2026-02-05,28848,304,25,15,71,58,1436,12,7,Salbutamol 4mg
DASH0190,2026-02-06,36673,309,49,19,55,34,1180,33,3,Levocetirizine 5mg
DASH0191,2026-02-07,62453,305,79,26,61,64,1091,21,8,ORS Sachet
DASH0192,2026-02-08,28620,182,37,29,57,18,1356,20,5,Losartan 50mg
DASH0193,2026-02-09,24723,344,35,11,35,63,864,13,7,Calcium 500mg
DASH0194,2026-02-10,27656,303,31,9,82,71,1057,34,0,ORS Sachet
DASH0195,2026-02-11,21490,282,84,13,55,39,783,16,3,Paracetamol 500mg
DASH0196,2026-02-12,38885,130,62,27,43,23,739,14,7,Omeprazole 20mg
DASH0197,2026-02-13,64238,320,77,21,25,72,781,5,4,Azithromycin 500mg
DASH0198,2026-02-14,27798,350,74,5,61,30,1008,8,0,Pantoprazole 40mg
DASH0199,2026-02-15,45513,314,28,5,88,53,1248,5,10,Calcium 500mg
DASH0200,2026-02-16,55686,203,38,11,79,15,1329,16,3,Rabeprazole 20mg
DASH0201,2026-02-17,45300,175,30,18,71,19,1238,22,8,Calcium 500mg
DASH0202,2026-02-18,54316,90,69,29,85,17,1350,17,5,Amlodipine 5mg
DASH0203,2026-02-19,19064,262,28,13,55,61,1372,25,1,Rabeprazole 20mg
DASH0204,2026-02-20,39791,148,25,13,94,36,1358,10,12,Dolo 650mg
DASH0205,2026-02-21,63573,325,43,27,42,19,1433,29,7,Amoxicillin 250mg
DASH0206,2026-02-22,37231,183,25,27,50,71,742,15,4,Calcium 500mg
DASH0207,2026-02-23,44098,322,52,3,49,33,1065,32,12,Amoxicillin 250mg
DASH0208,2026-02-24,60974,249,54,5,72,42,1109,28,7,Vitamin D3 60000IU
DASH0209,2026-02-25,40219,175,83,24,88,38,1231,13,12,Cetirizine 10mg
DASH0210,2026-02-26,45820,120,75,21,48,49,1000,15,1,Cetirizine 10mg
DASH0211,2026-02-27,39490,231,59,16,79,25,1406,19,5,Dolo 650mg
DASH0212,2026-02-28,20775,260,75,10,32,19,1387,25,6,Levocetirizine 5mg
DASH0213,2026-03-01,51625,161,23,6,81,17,829,7,3,Levocetirizine 5mg
DASH0214,2026-03-02,41733,276,24,21,44,58,1160,35,5,Levocetirizine 5mg
DASH0215,2026-03-03,47094,119,37,18,71,40,1021,25,4,Pantoprazole 40mg
DASH0216,2026-03-04,25434,93,43,17,91,39,1275,8,4,Amlodipine 5mg
DASH0217,2026-03-05,64139,308,47,21,61,59,1202,11,1,Omeprazole 20mg
DASH0218,2026-03-06,22853,311,42,30,81,20,1398,35,5,Levocetirizine 5mg
DASH0219,2026-03-07,64500,113,90,19,62,72,1007,32,2,Metformin 500mg
DASH0220,2026-03-08,41690,340,48,5,50,65,842,12,12,Cough Syrup 100ml
DASH0221,2026-03-09,19722,264,90,20,72,44,1264,9,9,Cetirizine 10mg
DASH0222,2026-03-10,22308,238,70,24,86,48,1120,29,6,Rabeprazole 20mg
DASH0223,2026-03-11,22833,144,60,22,34,43,1177,26,8,Levocetirizine 5mg
DASH0224,2026-03-12,26410,173,36,15,89,73,756,31,1,Calcium 500mg
DASH0225,2026-03-13,28028,235,41,7,66,74,1426,12,5,Calcium 500mg
DASH0226,2026-03-14,36615,120,52,8,95,32,828,25,4,Salbutamol 4mg
DASH0227,2026-03-15,52962,127,84,22,46,52,1294,9,2,Salbutamol 4mg
DASH0228,2026-03-16,57658,252,25,28,28,20,746,35,10,Rabeprazole 20mg
DASH0229,2026-03-17,35344,187,73,21,28,46,1342,22,4,Atorvastatin 10mg
DASH0230,2026-03-18,49650,205,71,11,83,19,1405,6,2,Dolo 650mg
DASH0231,2026-03-19,45238,327,79,8,68,53,847,15,11,Montelukast 10mg
DASH0232,2026-03-20,40634,284,36,26,72,47,1275,8,5,Pantoprazole 40mg
DASH0233,2026-03-21,48570,142,54,16,56,24,799,6,4,Vitamin D3 60000IU
DASH0234,2026-03-22,58329,294,51,29,45,67,1035,34,9,Montelukast 10mg
DASH0235,2026-03-23,30440,161,83,18,84,46,1015,20,0,Cetirizine 10mg
DASH0236,2026-03-24,43771,338,78,9,52,52,1061,6,0,Atorvastatin 10mg
DASH0237,2026-03-25,50433,320,56,19,26,69,810,18,2,Amlodipine 5mg
DASH0238,2026-03-26,41971,286,66,3,76,18,1283,22,3,Levocetirizine 5mg
DASH0239,2026-03-27,54256,227,29,14,89,43,1482,22,4,Salbutamol 4mg
DASH0240,2026-03-28,62590,140,36,5,75,38,1047,22,5,Omeprazole 20mg
DASH0241,2026-03-29,31045,340,71,18,30,17,739,9,11,Montelukast 10mg
DASH0242,2026-03-30,49047,345,78,6,90,23,1035,34,9,Montelukast 10mg
DASH0243,2026-03-31,28649,281,58,20,68,47,1221,22,7,Rabeprazole 20mg
DASH0244,2026-04-01,37647,323,22,13,67,58,812,18,9,Atorvastatin 10mg
DASH0245,2026-04-02,63091,93,80,10,99,51,933,28,0,Rabeprazole 20mg
DASH0246,2026-04-03,49486,167,87,22,73,24,1397,12,0,Rabeprazole 20mg
DASH0247,2026-04-04,63909,136,44,2,81,35,1128,9,6,Azithromycin 500mg
DASH0248,2026-04-05,44894,336,80,29,32,60,841,21,3,Losartan 50mg
DASH0249,2026-04-06,39302,324,87,14,65,26,1170,34,8,Montelukast 10mg
DASH0250,2026-04-07,53800,261,53,21,86,27,952,13,8,Atorvastatin 10mg
DASH0251,2026-04-08,32736,232,56,24,51,59,1421,20,5,Cough Syrup 100ml
DASH0252,2026-04-09,40859,220,56,5,98,58,1256,17,6,Levocetirizine 5mg
DASH0253,2026-04-10,27599,228,25,11,35,37,1152,25,4,Cough Syrup 100ml
DASH0254,2026-04-11,32023,183,88,10,96,59,978,9,1,Salbutamol 4mg
DASH0255,2026-04-12,56458,202,51,3,92,29,1353,12,0,Ibuprofen 400mg
DASH0256,2026-04-13,45086,249,80,5,42,15,1263,34,2,ORS Sachet
DASH0257,2026-04-14,60787,323,81,22,50,63,994,15,4,Amoxicillin 250mg
DASH0258,2026-04-15,23862,198,88,25,29,73,879,18,2,Amoxicillin 250mg
DASH0259,2026-04-16,44017,333,43,25,62,71,738,5,4,Rabeprazole 20mg
DASH0260,2026-04-17,57503,134,62,11,83,56,1256,21,7,Omeprazole 20mg
DASH0261,2026-04-18,51044,319,54,8,39,36,866,28,7,Amlodipine 5mg
DASH0262,2026-04-19,30202,87,63,27,62,51,1390,29,3,Metformin 500mg
DASH0263,2026-04-20,58039,287,74,18,66,20,1110,26,1,Metformin 500mg
DASH0264,2026-04-21,27215,324,61,9,25,31,1092,12,7,Amlodipine 5mg
DASH0265,2026-04-22,39602,234,21,10,71,59,941,6,10,Ibuprofen 400mg
DASH0266,2026-04-23,48500,237,40,14,89,74,1420,29,4,Ibuprofen 400mg
DASH0267,2026-04-24,59858,231,67,21,53,29,836,20,2,Dolo 650mg
DASH0268,2026-04-25,57697,271,73,24,95,73,1182,29,8,Azithromycin 500mg
DASH0269,2026-04-26,34217,121,87,16,92,60,1070,7,9,Ibuprofen 400mg
DASH0270,2026-04-27,22047,338,45,20,93,24,868,15,8,Dolo 650mg
DASH0271,2026-04-28,25617,185,82,4,90,43,756,19,2,Calcium 500mg
DASH0272,2026-04-29,45225,313,27,19,84,58,1015,28,0,Vitamin D3 60000IU
DASH0273,2026-04-30,34676,81,47,20,34,17,1133,16,11,Cetirizine 10mg
DASH0274,2026-05-01,53465,110,28,17,29,33,1118,10,12,Omeprazole 20mg
DASH0275,2026-05-02,60042,295,67,30,73,43,1086,17,1,Losartan 50mg
DASH0276,2026-05-03,26715,258,35,7,93,40,1241,9,11,Pantoprazole 40mg
DASH0277,2026-05-04,18227,91,58,16,94,42,1244,17,3,Pantoprazole 40mg
DASH0278,2026-05-05,48187,257,39,10,49,74,1442,29,1,Amoxicillin 250mg
DASH0279,2026-05-06,61266,294,22,9,51,19,803,24,0,Dolo 650mg
DASH0280,2026-05-07,57176,104,51,25,30,40,1149,12,8,Azithromycin 500mg
DASH0281,2026-05-08,21699,151,84,11,54,67,1449,23,5,Rabeprazole 20mg
DASH0282,2026-05-09,57185,244,50,11,43,57,1233,12,6,Atorvastatin 10mg
DASH0283,2026-05-10,36032,111,42,22,79,50,1207,6,5,Vitamin D3 60000IU
DASH0284,2026-05-11,52371,243,73,15,44,34,1085,10,12,Losartan 50mg
DASH0285,2026-05-12,49032,203,48,11,43,66,1174,34,0,Losartan 50mg
DASH0286,2026-05-13,45045,293,87,6,74,30,961,11,5,Cetirizine 10mg
DASH0287,2026-05-14,47477,269,31,19,49,18,974,17,10,Salbutamol 4mg
DASH0288,2026-05-15,57513,100,29,8,100,61,1387,22,3,Cough Syrup 100ml
DASH0289,2026-05-16,31689,250,58,2,52,74,894,35,11,Ibuprofen 400mg
DASH0290,2026-05-17,49386,204,46,14,55,50,1029,29,4,Vitamin D3 60000IU
DASH0291,2026-05-18,48556,263,59,10,71,47,1209,19,1,Cough Syrup 100ml
DASH0292,2026-05-19,38986,184,67,12,77,17,1276,32,3,Omeprazole 20mg
DASH0293,2026-05-20,19062,213,90,20,99,61,1127,14,2,Azithromycin 500mg
DASH0294,2026-05-21,39618,197,68,20,56,46,1263,25,10,Montelukast 10mg
DASH0295,2026-05-22,34864,330,82,16,46,61,1060,10,2,Losartan 50mg
DASH0296,2026-05-23,50002,174,89,22,32,48,734,31,1,Amoxicillin 250mg
DASH0297,2026-05-24,18418,291,37,28,54,19,1424,9,0,Azithromycin 500mg
DASH0298,2026-05-25,51143,313,67,3,86,57,1199,5,0,Losartan 50mg
DASH0299,2026-05-26,54152,290,21,2,92,61,981,22,4,Paracetamol 500mg
DASH0300,2026-05-27,50913,300,42,5,37,48,852,12,3,Salbutamol 4mg
DASH0301,2026-05-28,52501,209,65,10,75,20,1082,35,6,Dolo 650mg
DASH0302,2026-05-29,55027,204,48,11,35,56,1365,29,0,Cetirizine 10mg
DASH0303,2026-05-30,44560,274,68,19,85,18,1352,5,11,Metformin 500mg
DASH0304,2026-05-31,23418,335,75,22,67,51,797,33,8,Amoxicillin 250mg
DASH0305,2026-06-01,33057,188,80,10,30,74,776,26,4,Losartan 50mg
DASH0306,2026-06-02,54930,96,42,29,65,16,912,23,2,Vitamin D3 60000IU
DASH0307,2026-06-03,23042,233,40,20,55,51,1098,26,8,Montelukast 10mg
DASH0308,2026-06-04,43155,151,30,18,69,18,800,18,3,Cetirizine 10mg
DASH0309,2026-06-05,40321,283,61,2,59,65,1161,20,3,Levocetirizine 5mg
DASH0310,2026-06-06,54243,272,75,7,99,57,1089,7,12,Salbutamol 4mg
DASH0311,2026-06-07,37357,206,29,4,59,24,1089,27,12,Omeprazole 20mg
DASH0312,2026-06-08,43534,242,66,5,36,15,1015,19,5,Amlodipine 5mg
DASH0313,2026-06-09,24699,147,31,7,80,43,1270,22,8,ORS Sachet
DASH0314,2026-06-10,24769,93,31,13,95,20,1311,24,12,Montelukast 10mg
DASH0315,2026-06-11,43246,86,57,15,74,64,786,28,8,Pantoprazole 40mg
DASH0316,2026-06-12,55483,346,41,23,73,25,842,13,4,Amlodipine 5mg
DASH0317,2026-06-13,50317,154,28,7,80,32,1131,14,7,Cetirizine 10mg
